title,date,agency,image_url,content,link_url,corp,impact_score
이차전지주 시총 올해 들어 20조원 증발…반등 가나,2025년 05월 03일 10:18,매일경제,https://img.mbn.co.kr/filewww/news/2025/05/03/1746233783681569b7262d6.png,"국내 주요 10개 이차전지 기업의 시가총액이 올해 들어 20조 원 넘게 증발한 것으로 나타났습니다. 오늘(3일) 한국거래소에 따르면 어제(2일) 기준 국내 주요 10개 이차전지 기업의 시가총액 총합은 170조 9천270억 원으로 지난해 말(191조 9천400억 원) 대비 21조 130억 원 줄었습니다. 10개 기업은 LG에너지솔루션, POSCO홀딩스, LG화학, SK이노베이션, 삼성SDI, 에코프로비엠, 포스코퓨처엠, 에코프로, SKC, 에코프로머티입니다. 해당 종목들로 구성된 KRX 2차전지 톱10 지수는 올해 들어 15.6% 내렸습니다. 같은 기간 코스피가 6.7% 오른 것과 대조적입니다. 지난해 전기차 캐즘(일시적 수요 둔화) 우려에 내리막길을 걸었던 이차전지 업황이 트럼프 정부의 관세 우려까지 맞물리면서 좀처럼 회복되지 못했습니다. LG에너지솔루션이 1분기 호실적을 기록했지만 2분기 이후 실적 부진이 예상되는 점도 투자심리를 위축시켰습니다. LG에너지솔루션의 연결 기준 올해 1분기 영업이익은 3천747억원으로 지난해 동기보다 138% 증가했으며, 전 분기 대비로는 흑자 전환했습니다. 그러나 회사는 올해 대외 불확실성과 수요 둔화를 고려해 연간 시설투자(CAPEX)를 전년 대비 30% 이상 줄인다고 밝혔습니다. 정원석 iM증권 연구원은 ""LG에너지솔루션의 유럽향 출하가 많이 감소하며 2분기 매출은 다소 부진할 것으로 전망된다""며 ""지난 3~4년간 유럽 전기차 배터리 시장 내 국내 배터리 셀 업체들의 점유율은 중국 업체들과의 경쟁 심화로 뚜렷한 하락세를 보이고 있다""고 밝혔습니다. 기관 투자자가 이들 종목을 대거 팔며 주가를 끌어 내렸습니다. 기관은 올해 들어 KRX 2차전지 톱10 지수를 기초지수로 추종하는 'TIGER 2차전지 TOP10' 상장지수펀드(ETF)를 326억원어치 순매도했습니다. 증권가에서는 트럼프 정부의 관세 불확실성 등이 줄어들면서 단기적으로 이차전지주의 반등을 기대할 수 있다는 전망이 나옵니다. 이안나 유안타증권 연구원은 ""이차전지주는 트럼프 정부의 관세 정책에 대한 시장의 고민이 있으나 관세를 높여도 미국의 약한 산업 공급망, 인프라 부족으로 결국 미국 제조업이 위축될 수밖에 없다""며 ""이에 트럼프 정부도 협상을 통해 관세를 낮추는 방향으로 갈 수밖에 없다. 이러한 맥락에서 IRA(인플레이션 감축법)도 2026년에 바로 폐지되긴 힘들 것""이라고 예상했습니다. 이어 ""5월부터 일시적 수요 증가로 인한 상반기 실적이 컨센서스(시장 평균 전망치)를 상회하고, 낮아질 관세 불확실성 등으로 이차전지 섹터의 트레이딩 기회가 올 것""이라며 LG에너지솔루션을 최선호주로 꼽았습니다. 다만 장기적으론 미국 전기차 혜택 축소 및 유럽의 중국 대상 관세 철폐 우려가 있어 추세적인 주가 반등을 기대하기는 어려워 보입니다. 주민우 NH투자증권 연구원은 ""미국 공화당 의원 중 하원 21명, 상원 4명이 IRA 폐지 반대 의사를 밝힌 만큼 과반 정족수 부족으로 폐지 가능성은 희박하나 혜택 축소 가능성은 열려 있다""며 ""구매세액 공제 등 혜택이 축소되면 미국 친환경차(xEV) 판매 전망치의 하향 조정이 불가피하다""고 짚었습니다. 또한 ""유럽은 작년 10월부터 중국산 전기차에 대한 관세부과를 시행 중인데 관세를 철회하는 방향을 논의 중""이라며 ""유럽 내 중국산 전기차 비중이 20%를 넘어선 상황에서 관세가 철폐된다면 국내 배터리 3사에도 부정적 영향이 불가피하다""며 우려를 표했습니다. 김현수 하나증권 연구원도 ""이차전지 기업의 2분기 및 하반기 매출 증가율에 대한 눈높이 하향 조정 가능성이 높다는 점에서 주가의 추세적 상승을 기대할 만한 상황은 아니다""라며 ""1분기 미국 전기차 판매 호조는 세액 공제 폐지 리스크를 고려해 전기차 잠재 수요자들의 구매 주문이 연초로 앞당겨졌을 가능성이 있음을 고려해야 한다""고 밝혔습니다. 이채원 디지털뉴스부 인턴기자 00lee36.5@gmail.com",http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00003&news_seq_no=5110757,에코프로,5
'악! 살려주세요'…'시총 20조 증발' 이차전지 개미들 눈물,2025년 05월 03일 08:31,한국경제,https://img.hankyung.com/photo/202505/99.31736979.1.jpg,"국내 주요 이차전지 기업 시가총액이 올해 들어 20조원 넘게 증발했다. 3일 한국거래소에 따르면 전날 기준 국내 주요 10개 이차전지 기업의 시가총액 총합은 170조9270억원으로 지난해 말(191조9400억원) 대비 21조130억원 감소했다. 10개 기업은 LG에너지솔루션, POSCO홀딩스, LG화학, SK이노베이션, 삼성SDI, 에코프로비엠, 포스코퓨처엠, 에코프로, SKC, 에코프로머티다. 해당 종목들로 구성된 KRX 2차전지 톱10 지수는 올해 들어 15.6% 내렸다. 같은 기간 코스피가 6.7% 오른 것과 대조적이다. 지난해 전기차 캐즘(일시적 수요 둔화) 우려에 내리막길을 걸었던 이차전지 업황이 트럼프 정부의 관세 우려까지 맞물리면서 타격이 더 컸다. 기관 투자자가 이들 종목을 대거 팔아치웠다. 기관은 올해 들어 KRX 2차전지 톱10 지수를 기초지수로 추종하는 'TIGER 2차전지 TOP10' 상장지수펀드(ETF)를 326억원어치 순매도했다. 증권가에서는 트럼프 정부의 관세 불확실성 등이 줄어들면서 단기적으로 이차전지주의 반등을 기대할 수 있다는 전망이 나온다. 이안나 유안타증권 연구원은 ""5월부터 일시적 수요 증가로 인한 상반기 실적이 컨센서스(시장 평균 전망치)를 상회하고, 낮아질 관세 불확실성 등으로 이차전지 섹터의 트레이딩 기회가 올 것""이라고 봤다. 다만 장기적으론 미국 전기차 혜택 축소와 유럽의 중국 대상 관세 철폐 우려가 산재해 추세적인 주가 반등을 기대하기는 어려워 보인다. 주민우 NH투자증권 연구원은 ""미국 공화당 의원 중 하원 21명, 상원 4명이 IRA 폐지 반대 의사를 밝힌 만큼 과반 정족수 부족으로 폐지 가능성은 희박하나 혜택 축소 가능성은 열려 있다""며 ""구매세액 공제 등 혜택이 축소되면 미국 친환경차(xEV) 판매 전망치의 하향 조정이 불가피하다""고 짚었다.",https://www.hankyung.com/article/2025050316747,에코프로,9
[마켓뷰] 미·중 무역협상 기대가 정치 불안 눌렀다… 韓 증시 반등,2025년 05월 02일 16:26,조선비즈,https://biz.chosun.com/resizer/v2/Z5LPNXGUSZJ2VPRIYBX5K52SFM.jpg?auth=f4406cdb6264a1695688481453cc5f2a960de55fb8a1b288f4791ae04d6ece67&width=6000&height=4000&smart=true,"2일 코스피지수는 강보합세로 마감했다. 국내 정치 불확실성 심화에 애플과 아마존의 실적 부진까지 겹치며 장 초반 약세를 보였으나, 미·중 무역협상 기대감에 장중 상승으로 전환했다. 코스피는 오후 한때 2670선을 넘보기도 했다. 한국거래소에 따르면 이날 코스피지수는 전 거래일 대비 3.18포인트(0.12%) 오른 2559.79로 마감했다. 지수는 전장 대비 0.09포인트(0.00%) 내린 2556.52로 출발해 낙폭을 키웠는데, 오후 들어 상승 전환했다. 장중 2567.04까지 오르기도 했다. 기관이 ‘사자’에 나서며 지수 상승을 이끌었다. 증권사(금융투자) 등 기관은 코스피 대형주를 중심으로 2932억원어치를 순매수했다. 개인과 외국인이 각각 2141억원어치, 1609억원어치를 순매도했음에도 지수는 상승으로 마감했다. 미국과 중국 간 무역협상 가능성이 국내 증시 전반의 투자심리 개선으로 이어졌다. 중국 상무부 대변인이 이날 “미국 측은 최근 관련 부서를 통해 여러 차례 적극적으로 메시지를 보내와 중국과 대화하기를 희망했다”고 밝힌 게 호재가 됐다. 이경민 대신증권 연구원은 “미국과 중국의 무역 협상 가능성에 코스피는 물론 애플과 아마존의 서비스 매출 부진으로 약세를 보였던 미국 주요 지수 선물까지 모두 상승으로 전환했다”면서 “아시아 증시도 일제히 상승으로 전환했다”고 말했다. 종목별로는 SK하이닉스가 4.79% 오르며 지수 상승을 이끌었다. 마이크로소프트와 메타 등 빅테크 기업의 호실적에 인공지능(AI) 투자 지속 기대가 번지면서다. 이수페타시스 주가도 15% 넘게 상승했다. 다만 삼성전자는 하락으로 마감했다. 간밤 미국 뉴욕증시 3대 지수는 일제히 상승으로 마감했다. 마이크로소프트와 메타의 호실적이 빅테크 전반의 주가 상승을 이끌면서다. 특히 뉴욕증권거래소(NYSE)에서 나스닥종합지수는 264.40포인트(1.52%) 오른 1만7710.74에 거래를 마쳤다. 전력기기 업종 또한 AI 설비 투자 기대감과 지난달 대형 변압기 수출액 1조원 돌파 호재에 일제히 상승으로 마감했다. HD현대일렉트릭 주가는 5% 넘게 상승했고, 이외 효성중공업, LS ELECTRIC 등 전력기기 업종 전반의 주가가 강세를 보였다. 유심 해킹 사태에 신규 가입자 모집 중단 행정 지도까지 이어진 SK텔레콤은 약세를 보였다. 다만 KT와 LG유플러스는 반사이익 기대에 강세로 마감했다. 알뜰폰 업체인 LG헬로비전, 세종텔레콤 주가도 5% 이상 급등했다. 국내 게임사 위메이드 주가는 17.45% 급락했다. 위메이드가 발행한 가상화폐 위믹스(WEMIX)가 국내 거래소에서 두 번째로 거래지원 중지(상장폐지)된 게 악재가 됐다. 이날 코스피 거래대금은 연휴를 앞둔 관망세가 유입되며 8조2529억원선에 머물렀다. 코스피가 소폭 하락으로 마감한 지난달 30일 거래대금 8조4356억원보다 적었다. 국내 증시는 오는 5일은 어린이날과 부처님오신날, 6일은 대체공휴일을 맞아 휴장한다. 코스닥지수도 상승으로 마감했다. 전 거래일보다 4.62포인트(0.64%) 오른 721.86에 마감했다. 전장 대비 0.64포인트(0.09%) 내린 716.60으로 출발했지만, 외국인이 940억원어치 순매수에 나서며 지수 상승을 견인했다. 기관도 676억원어치 순매수했다. 종목별로는 코스닥시장 시가총액 상위 종목에 포진한 제약·바이오주가 일제히 강세를 보였다. 지난달 의약품 수출 14억 달러로 역대 4월 중 최고치 기록하며 실적 기대감이 커졌기 때문이다. 파마리서치와 리가캠바이오 주가는 3% 넘게 상승했다. 알테오젠, 에코프로비엠, HLB, 레인보우로보틱스, 휴젤, 클래시스, 펩트론 등 시총 상위 대부분 종목이 상승했다. 코스닥시장 시가총액 상위 10개 종목 중 이날 주가 하락은 에코프로 1개 종목에 그쳤다. 정치 테마주는 요동쳤다. 이재명 더불어민주당 대통령 선거 후보와 묶인 정치 테마주가 2일 장 시작과 함께 곤두박질친 반면 대선 출마를 선언한 한덕수 전 대통령 권한대행 국무총리 관련 테마주는 가격제한폭인 상한가로 치솟았다. 대법원이 이 후보의 공직선거법 위반 사건을 유죄 취지 파기환송하면서 사법리스크가 재부각한 게 이재명 테마주의 급락으로 이어졌다. 한 전 총리는 이날 대선출마를 선언했다. 한 전 총리 테마주로 꼽히는 일정실업, 아이스크림에듀 주가는 이날 상한가로 직행했다. 한편 이날 서울외환시장에서 원·달러 환율은 주간 거래 마감 기준 1405.3원으로 마감했다. 전일 주간 종가 1421원에서 15.7원 내렸다.",https://biz.chosun.com/6XJ4XIOBWZDEXKV765PLYZOVSU,에코프로,8
"연휴 앞둔 증시, 관망세…이재명 울고, 한덕수 웃었다[시황종합]",2025년 05월 02일 16:10,NEWS1,https://image.news1.kr/system/photos/2024/5/14/6649953/high.jpg,"연휴를 앞두고 관망 심리가 확산되며 하락 출발했던 코스피가 미중 협상 기대감 등에 장중 반등에 성공, 강보합으로 마감했다. 2일 코스피는 전 거래일 대비 3.18p(0.12%) 상승한 2559.79로 거래를 마쳤다. 기관은 3025억 원 순매수했다. 외국인은 1704억 원, 개인은 2144억 원 각각 순매도했다. 코스피는 어린이날·대체공휴일 휴장과 요동치는 대선 정국 등의 여파로 하락 출발했다. 미국 증시 마감 이후 실적을 발표한 아마존과 애플이 매출 부진으로 시간 외 거래에서 3%대 하락한 것도 우리 증시에 악영향을 미쳤다. 그러나 미·중 협상 진전 소식과 마이크로소프트, 메타 등 글로벌 빅테크 기업들의 인공지능(AI) 설비투자 기대감이 시장에 뒤늦게 반영되며 반등에 성공, 반도체와 전력기기 업종을 중심으로 상승 폭이 확대됐다. 코스피 시가총액 상위 10개 종목 중 SK하이닉스가 AI 설비투자 기대감으로 전 거래일 대비 4.79% 오른 18만6000원에 거래를 마쳤다. KB금융(05560) 3.33%, 삼성바이오로직스 3.14%, 한화에어로스페이스 2.63%, HD현대중공업 1.62%, 셀트리온 0.68% 등도 상승세로 마감했다. 반면 삼성전자우(005935) -3.31%, 삼성전자 -2.16%, LG에너지솔루션 -1.23%, 현대차 -0.63% 등은 하락했다. SK텔레콤은 유심 부족 현상 해결까지 신규 가입자 모집을 중단 권고한 정부 조치 여파로 1.10% 하락했다. 반면 KT(3.28%)와 LG유플러스(1.41%)는 상승했다. 대선 주자들과 관련된 정치 테마주는 하루 종일 요동쳤다. 이재명 더불어민주당 대선후보의 공직선거법 위반 혐의 파기환송 이슈로 관련 테마주 오리엔트정공(-15.36%), 형지글로벌(-9.47%)은 줄줄이 급락했다. 반면 이날 대선 출마를 선언한 한덕수 전 국무총리의 관련 테마주 일정실업, 태영건설우(009415), 티와이홀딩스우(36328K) 등은 상한가로 거래를 마쳤다. 코스닥도 전 거래일 대비 4.62p(0.64%) 상승한 721.86으로 거래를 마쳤다. 기관은 659억 원, 외국인은 796억 원을 각각 순매수했다. 개인은 1467억 원 순매도했다. 코스닥 시가총액 상위 10개 종목 중 펩트론 4.29%, 파마리서치 3.45%, 리가켐바이오(41080) 3.05%, 에코프로비엠 2.96%, 휴젤(45020) 1.78%, 알테오젠(96170) 1.57%, HLB 0.88%, 레인보우로보틱스 0.74%, 클래시스 0.62% 등은 상승했다. 에코프로 -1.57% 은 하락했다.",https://www.news1.kr/finance/market-exr/5772451,에코프로,8
연휴 앞둔 국내증시 상승 마감…시가총액 상위종목은 혼조세,2025년 05월 02일 16:08,머니투데이,https://thumb.mt.co.kr/06/2025/05/2025050215403231189_1.jpg,"[내일의 전략] 근로자의 날이었던 지난 1일 정치적 이슈가 불거지며 국내 증시에 부담이 될 것이란 분석이 나왔지만 코스피와 코스닥이 모두 상승 마감하며 예상보다 선방했다. 다만 시가총액 대형주는 혼조세를 보이며 투자자들은 관망세를 이어갔다. 2일 코스피는 전 거래일 대비 3.18포인트(0.12%) 오른 2559.79에 거래를 마쳤다. 장초반 순매수세를 보였던 개인이 장중 매도세로 전환했고 기관은 순매수세로 전환했다. 기관이 3025억원 순매수했고 개인과 외국인은 각각 2147억원, 1701억원 순매도했다. 전날 대법원은 공직선거법 위반 혐의로 기소된 이재명 더불어민주당 대선후보에게 무죄를 선고한 원심을 깨고 사건을 서울고법으로 돌려보냈다. 여기에 최상목 경제부총리 겸 기획재정부 장관이 같은날 오후 사퇴하며 불확실성은 더욱 커졌다. 다만 예상보다 시장은 차분히 반응했다. 국내증시는 전력주, 바이오주와 정치테마주, 방산주에 수급이 몰리며 장중 낙폭을 줄이는데 성공했다. 이경민 대신증권 FICC 리서치부장은 ""아시아 증시가 미국과 중국 협상 가능성에 일제히 상승했다""며 ""전력기기 업종은 AI(인공지능) 설비투자 기대감이 되살아나며 상승세를 보였다""고 밝혔다. 업종별로는 제약, 통신이 1%대 상승했다. 증권, 부동산, 금융, IT서비스, 제조, 비금속은 강보합으로 마감했다. 전기·전자, 유통, 전기·가스, 화학, 건설, 오락문화, 금속은 약보합으로 장을 마쳤다. 기계장비, 종이·목재, 운송창고는 1% 하락했다. 시가총액 상위종목에서는 혼조세가 펼쳐졌다. 삼성전자 실적을 두고 증권가에서 신중한 반응을 보이며 삼성전자는 2% 하락했다. 반면 SK하이닉스는 4% 상승 마감했다. 삼성바이오로직스는 3% 상승했고 한화에어로스페이스는 2% 오른 채 장을 마쳤다. 기아, LG에너지솔루션은 1% 하락했고 현대모비스는 4% 하락했다. 코스닥은 전 거래일 대비 4.62포인트(0.64%) 오른 721.86에 거래를 마감했다. 외국인과 기관이 각각 797억원, 660억원 순매수한 반면 개인은 1465억원어치 순매도했다. 업종별로는 제약, 오락문화가 1% 상승했다. 제조, 유통, 화학, 전기·전자, 의료정밀, 통신, 금속 등이 강보합으로 거래를 마쳤다. 금융, 비금속, 운송창고는 약보합에 머물렀고 건설은 2% 하락했다. 시가총액 상위종목에서는 펩트론이 4% 상승했고 파마리서치, 리가켐바이오가 3% 올랐다. 에코프로비엠은 2% 상승했고 알테오젠은 1% 올랐다. 에코프로는 1% 하락했고 코오롱티슈진은 4% 하락했다. 이날 코스피와 코스닥은 상승 마감했지만 상승종목보다는 하락종목이 더 많아 여전히 투자자들이 관망세를 이어가고 있는 것으로 나타났다. 서울 외환시장에서 원/달러 환율은 전 거래일 대비 15.7원 내린 1405.3원에 주간거래를 마쳤다. ⓒ 머니투데이 & mt.co.kr, 무단 전재 및 재배포 금지",https://news.mt.co.kr/mtview.php?no=2025050215403231189&TOSS,에코프로,5
"황금연휴 앞둔 韓증시, 호실적·관세 협상 진전에 동반 상승",2025년 05월 02일 16:08,아시아경제,https://cphoto.asiae.co.kr/listimg_link.php?idx=2&no=2025050216062144432_1746169580.jpg,"2일 국내 증시가 일제히 상승 마감했다. 황금연휴를 앞두고 시장 관망세가 나타난 가운데 미·중 관세 협상 진전 소식과 주요 기업들의 호실적이 투자 심리를 견인했다. 이날 코스피는 전 거래일 대비 3.18포인트(0.12%) 오른 2559.79에 거래를 마쳤다. 앞서 0.09포인트 내린 2556.52에 약보합 출발한 지수는 장중 강세로 전환했으나 상승 폭은 제한되는 흐름을 보였다. 개인과 외국인이 각각 2143억원, 1669억원어치를 내다팔 동안 기관이 홀로 3025억원을 순매수하며 증시를 떠받쳤다. 시가총액 상위 종목은 다소 혼조세로 마감했다. 이날 외국인 순매수 1위 종목에 오른 SK하이닉스가 4.79% 뛰었고 KB금융(3.33%), 삼성바이오로직스(3.14%), 한화에어로스페이스(2.63%), HD현대중공업(1.62%), 셀트리온(0.68%), 한화오션(0.51%)이 상승 마감했다. 반면 현대모비스(-4.11%), 삼성전자(-2.16%), NAVER(-1.55%), LG에너지솔루션(-1.23%), 기아(-1.11%), 현대차(-0.63%), 신한지주(-0.39%)는 하락 마감했다. 같은 날 코스닥은 전장보다 4.62포인트(0.64%) 오른 721.86으로 마무리했다. 이날 지수는 0.64포인트(0.09%) 내린 716.60에 출발했으나 이내 고개를 들며 상승 폭을 키웠다. 개인이 1466억원을 순매도할 동안 외국인이 798억원, 기관이 659억원어치를 사들였다. 코스닥은 시가총액 상위 종목이 대부분 오름세를 보였다. 펩트론(4.29%), 에이비엘바이오(3.99%), 파마리서치(3.45%), 리가켐바이오(3.05%), 에코프로비엠(2.96%), 에스엠(2.91%), 휴젤(1.78%), 알테오젠(1.57%), 삼천당제약(0.92%), HLB(0.88%), 레인보우로보틱스(0.74%), 클래시스(0.62%)는 주가가 뛰었고 에코프로(-1.57%), 코오롱티슈진(-4.20%)은 내렸다. 김지원 KB증권 연구원은 ""기업실적 결과 소화, 미중 관세 협상 진전 소식에 투자심리가 개선되며 양 시장이 동반 상승했다""며 ""미국의 1분기 GDP(국내총생산) 역성장, 제조업 PMI(구매관리자지수) 부진, 고용, 실적 등 휴장 이후 여러 이슈를 한번에 반영하며 국내 증시가 약세 출발했으나 미중간 협상 진전 소식이 증시 상승 동력으로 작용했다""고 총평했다. 금일 밤에는 미국 4월 고용보고서 발표가 예정돼 있다. 김 연구원은 ""연방준비제도(Fed)의 데이터 의존적 성향이 유지되는 가운데 고용에 대한 해석이 중요한 변수로 작용하고 있어 결과가 주목된다""고 설명했다. 오는 5~6일은 국내 증시가 휴장인 가운데 미국과 중국의 서비스업 지표가 발표된다. 7~8일엔 연방공개시장위원회(FOMC) 등 증시 방향성을 결정할 금리 이벤트가 대기 중이다.",https://www.asiae.co.kr/article/2025050216084600165,에코프로,7
코스피·코스닥 강보합권 마감…미중 협상 기대감↑,2025년 05월 02일 15:50,이데일리,https://image.edaily.co.kr/images/photo/files/NP/S/2025/05/PS25050201082.jpg,"[이데일리 이용성 기자] 코스피와 코스닥 강보합권에서 장을 마쳤다. 미국과 중국 간 협상 기대감때문인 것으로 풀이된다. 2일 엠피닥터에 따르면 코스피는 전 거래일 대비 3.18포인트(0.12%) 오른 2559.79에 거래를 마쳤다. 외국인과 개인 각각 1609억원, 2143억원 순매도했고, 기관은 2932억원 규모를 사들였다. 코스닥은 4.62포인트(0.64%) 오른 721.85에 거래를 마감했다. 개인이 1604억원을 순매도했고 외국인과 기관이 각각 940억원, 676억원 순매수했다. 이날 중국 상무부는 “미국이 최근 관련된 경로로 여러 번 중국 쪽에 정보를 전달하며 협상을 원한다는 입장을 밝혔다”며 “이에 대해 평가를 진행 중”이라고 전했다. 코스피 업종별로는 혼조였다. 제약과 통신이 1%대 강세를 보였으며 증권과 부동산, 금융 등은 1% 미만 수준으로 강보합세를 보였다. 반면 종이·목재와 기계·장비는 1%대 하락했다. 코스닥에서는 일반서비스가 1%, 섬유·의류, 오락·문화 등이 1%대 상승 마감했다. 건설은 2.81% 떨어졌고, IT 서비스와 종이·목재는 1%대 하락했다. 시가총액 상위 종목은 혼조다. 삼성전자는 1.80% 빠졌지만, SK하이닉스는 4.28% 올랐다. 삼성바이오로직스, KB금융, 한화에어로스페이스는 2%대 강세를 보였다. 코스닥에서는 알테오젠과 HLB, 휴젤 등이 1%대 상승했다. 에코프로는 1.76%, 코오롱티슈진은 4.20% 하락했다. 이날 코스피의 거래량은 5억 7816만 주였다. 거래대금은 8조 2529억원이었다. 상한가 종목 4개를 포함 420개 종목이 상승했고, 하한가 종목 없이 452개 종목은 하락했다. 63개 종목은 보합권에 머물렀다.",https://www.edaily.co.kr/news/newspath.asp?newsid=04178726642164984,에코프로,8
코스피·코스닥 강보합권서 등락…기관 ‘사자’ 계속,2025년 05월 02일 14:14,이데일리,https://image.edaily.co.kr/images/photo/files/NP/S/2025/05/PS25050200994.jpg,"[이데일리 이용성 기자] 코스피와 코스닥 장중 강보합 전환 후 등락을 반복하고 있다. 특히 기관이 양 시장을 매수하면서 지수 하단을 막고 있는 모습이다. 2일 엠피닥터에 따르면 이날 오후 2시 8분 현재 코스피는 전 거래일 대비 6.89포인트(0.27%) 오른 2564.50에 거래되고 있다. 외국인과 개인 각각 2353억원, 1552억원 순매도 중이고 기관은 3226억원 규모를 사들이고 있다. 코스닥은 6.01포인트(0.84%) 오른 723.25에 거래 중이다. 개인이 1191억원을 순매도하고 있고, 외국인과 기관은 각각 706억원 561억원 순매수 중이다. 코스피 업종별로는 상승 우위다. 제약과 통신이 1%대 오름세를 보이고 있고, 증권, 비금속, 금융, 부동산 등이 1% 미만 수준으로 강보합세다. 반면 종이·목재, 운수·창고는 1%대 하락 중이다. 코스닥에서는 제약과 기계·장비 등이 1%대 오르고 있고, 건설이 2%, 출판·매체복제가, 금융, IT 서비스 등이 1%미만 수준으로 약세다. 시가총액 상위 종목은 혼조다. 삼성전자는 1.62% 빠지고 있고, LG에너지솔루션, 기아 NAVER는 1%대 빠지고 있다. 반면 SK하이닉스는 4.42% 오르고 있고, 한화에어로스페이스와 HD현대중공업은 1%대 오름세다. 코스닥에서는 알테오젠과 HLB, 휴젤 등이 1%대 상승 중이다. 에코프로와 코오롱티슈진은 1%대 하락 중이다. 한편 간밤 뉴욕증시는 상승 마감했다. 1일(현지시간) 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30산업평균지수는 전 거래일 대비 0.21% 오른 4만752.96에 거래를 마쳤다. 대형주 벤치마크인 스탠다드앤드푸어스(S&P) 500지수는 0.63% 상승한 5604.14를, 기술주 위주의 나스닥지수는 1.52% 오른 1만7710.74에 거래를 마감했다.",https://www.edaily.co.kr/news/newspath.asp?newsid=03995046642164984,에코프로,5
"코스피, 기관 ‘사자’에 장중 강보합 전환… SK하이닉스 3%대 강세",2025년 05월 02일 11:28,조선비즈,https://biz.chosun.com/resizer/v2/3TRSNLGT4ZKABPDHJJZUTAKW6I.jpg?auth=3ece4279b0abf127b25682de877276559e93ec7f3e2007f1ee17c553ba4e0cb3&width=3500&height=2459&smart=true,"코스피가 기관 매수세에 힘입어 장중 강보합으로 전환했다. 2일 한국거래소 등에 따르면 이날 오전 11시 15분 현재 코스피지수는 전 거래일 대비 0.08포인트(0.02%) 오른 2557.14를 기록했다. 지수는 전장 대비 0.09포인트(0.00%) 내린 2556.52로 출발해 오전 한때 2540.57까지 떨어지기도 했지만, 장 중반 들어 낙폭을 줄였다. 기관이 1016억원 넘게 순매수하며 코스피지수 강보합 전환을 이끌었다. 다만 외국인과 개인은 각각 1397억원, 65억원 순매도 중이다. 김지현 다올투자증권 연구원은 “국내 증시는 혼재된 양상을 보인 미국 빅테크 실적, 연휴를 앞둔 관망세가 유입되며 제한적인 움직임을 보일 것으로 예상된다”고 밝혔다. 한덕수 국무총리의 사퇴 등으로 국내 정치 불확실성이 심화된 가운데 국내 증시는 오는 5일은 어린이날과 부처님오신날, 6일은 대체공휴일을 맞아 휴장한다. 유가증권시장(코스피) 시가총액 상위 종목별로는 혼조세다. SK하이닉스, 삼성바이오로직스, 한화에어로스페이스는 강세를 보이는 반면, 삼성전자, LG에너지솔루션 등은 약세다. 같은 시각 코스닥지수는 전장보다 5.17포인트(0.27%) 오른 722.41을 나타냈다. 지수는 전장 대비 0.64포인트(0.09%) 내린 716.60으로 출발해 상승으로 전환했다. 외국인과 기관이 각각 477억원, 234억원어치 순매수하며 지수 상승을 이끌고 있다. 개인은 649억원어치 순매도 중이다. 종목별로는 시가총액 상위 대부분 종목의 주가가 오르고 있다. 알테오젠과 에코프로비엠이 강세인 가운데 시총 상위 10개 종목 중 에코프로 1개 종목만 약세다.",https://biz.chosun.com/VB3TFOQBLFCVRCPJN52QDOFKSM,에코프로,4
"코스피·코스닥, 기관 ‘사자’에 장중 강보합 전환",2025년 05월 02일 10:44,이데일리,https://image.edaily.co.kr/images/photo/files/NP/S/2025/05/PS25050200991.jpg,"[이데일리 이용성 기자] 약보합권에서 코스피와 코스닥 장중 강보합 전환했다. 2일 엠피닥터에 따르면 이날 오전 10시 39분 현재 코스피는 전거래일 대비 2.01포인트(0.08%) 오른 2558.62에 거래되고 있다. 외국인과 개인 각각 1118억원, 14억원 순매도 중이고 기관은 771억원 규모를 사들이고 있다. 코스닥은 5.00포인트(0.70%) 오른 722.24에 거래 중이다. 개인이 534억원을 순매도하고 있고, 외국인과 기관은 각각 434억원 157억원 순매수 중이다. 코스피 업종별로는 혼조다. 통신이 1.10% 오름세를 보이고 있고, 제약과 비금속, 전기·전자 등이 1% 미만 수준으로 강보합세다. 반면 기계·장비, 운수·창고는 1%대 하락 중이다. 코스닥에서는 통신이 2%대 기계·장비, 섬유·의류 오락·문화가 1%대 오르고 있지만, 건설이 1%대 떨어지고 있고, 종이·목재, 출판·매체복제가 1%미만 수준으로 약세다. 시가총액 상위 종목은 혼조다. 삼성전자는 1.08% 빠지고 있고, LG에너지솔루션, 기아 NAVER는 1%대 빠지고 있다. 반면 한화에어로스페이스와 KB금융은 1%대 상승 중이고, SK하이닉스는 2.31% 상승 중이다. 코스닥에서는 알테오젠과 에코프로비엠은 1%대 상승 중이다. 삼천당제약과 에코프로, 에이비엘바이오는 1%미만 수준으로 약세다. 한편 간밤 뉴욕증시는 상승 마감했다. 1일(현지시간) 뉴욕증권거래소에서 블루칩을 모아놓은 다우존스 30산업평균지수는 전거래일 대비 0.21% 오른 4만752.96에 거래를 마쳤다. 대형주 벤치마크인 스탠다드앤드푸어스(S&P) 500지수는 0.63% 상승한 5604.14를, 기술주 위주의 나스닥지수는 1.52% 오른 1만7710.74에 거래를 마감했다.",https://www.edaily.co.kr/news/newspath.asp?newsid=03470246642164984,에코프로,1
