title,date,agency,image_url,content,link_url,corp,impact_score
꺾이지 않는 수출에 K뷰티 동반상승...사모펀드도 인수 눈독,2025년 05월 04일 11:49,매일경제,,"-수출 호조 이어지며 관세 우려 약해져, 실리콘투 한달간 30% 올라 -미국 뿐만 아니라 유럽 중동 수출도 증가 -실적 우상향 ODM 사모펀드가 인수 타진 K뷰티의 인기가 높아지면서 화장품주가 동반 상승하고 인수및합병 M&A 매물도 최근 시장서 각광을 받고 있다. 미국 관세 인상에도 불구하고 높은 소비자 로열티 덕분에 매출이 계속 늘어나자 브랜드 대형주, ODM(연구개발 및 생산), 판매플랫폼 등 밸류체인이 동반 상승하고 있는 것이다. 2일 아모레퍼시픽은 최근 한달간 15.65% 오른 12만5600원에 거래를 마감했다. 대표적 ODM사인 한국콜마는 12.67% 올랐으며 역직구 플랫폼인 실리콘투는 29.7% 상승했다. 4월 수출데이터만 보더라도 화장품 수출은 전년 대비 18.4% 늘었으며 북미 수출은 지난달에 비해 18.7% 증가했다. 북미 수출 모멘텀에다 유럽과 중동 수출까지 늘어나며 1분기에 이어 2분기도 실적 성장이 전망되고 있다. 아모레퍼시픽은 올 1분기 중국법인이 흑자 전환하며 미국에서 작년에 비해 30% 성장하면서 해외매출 호조를 이어갔다는 평가가 나온다. K뷰티의 글로벌 확장성이 입증되면서 화장품 ODM 분야는 사모펀드가 인수를 추진하고 있다. 화장품 브랜드는 트랜드가 수시로 바뀌어서 리스크가 있는 반면, 화장품 ODM 분야는 화장품을 제조하는 분야여서 K뷰티 흐름을 타고 실적이 꾸준히 우상향하고 있기 때문이다. ODM 업계 선두주자인 코스맥스와 한국콜마가 지난해 2조원대 매출액(연결기준)을 지난해 기록한 것이 대표적인 예다. 현재 국내 사모펀드인 웰투시인베스트먼트는 ODM 7위 업체인 엔코스 경영권 지분 인수를 시도하고 있다. 엔코스의 기업가치는 약 2000억원대 중반일 것으로 추정된다. 해당 인수는 상당히 논의가 진척된 것으로 알려졌다. 아울러 국내외 사모펀드는 ODM 4위 업체인 씨앤씨인터내셔널 인수에도 관심을 보이고 있다. 다만 대주주가 아직 매각의사가 크지 않아서 실제로 매각이 이뤄질지는 미지수다. IB업계선 ‘적정가격’을 두고 대주주와 인수측의 시각 차이가 커서, 씨앤씨인터내셔널 매각이 실제로 이뤄지려면 다소 시일이 걸릴 것으로 보고 있다. ODM뿐만 아니라 유명브랜드에 대한 인수도 있다. 국내 사모펀드인 케이엘앤파트너스는 천연성분을 기반으로 한 자연주의 기능성 화장품을 내걸며 지난 2023년 코스닥에 상장한 마녀공장 경영권 지분(51.9%)을 최근 1900억원에 인수했다. 구다이글로벌·컴퍼니케이 컨소시엄(구다이 컨소시엄)도 ‘독도토너’로 유명한 서린컴퍼니를 약 5000억원에 인수하려고 협상 중이다. IB업계 관계자는 “ODM 제조업체부터, 유명 브랜드 업체까지 K-뷰티가 잘나가면서 인기 있는 매물로 부상하고 있다”라며 “2010년대 중반에 중국에만 의존했던 K-뷰티가 이제는 미국 유럽 등 다양한 지역까지 수출을 확대하고 있어서, 앞으로도 화장품 관련 업체가 한동안 M&A 시장서 주목받을 것”이라고 전망했다. [ⓒ 매일경제 & mk.co.kr, 무단 전재, 재배포 및 AI학습 이용 금지]",https://www.mk.co.kr/article/11308245,아모레퍼시픽,5
"뷰티 기기부터 최고급 명차까지…패뷰업계, 가정의 달 선물세트 차별화",2025년 05월 03일 06:30,NEWS1,https://image.news1.kr/system/photos/2025/5/2/7267656/high.jpg,"션·뷰티 업계가 5월 가정의 달을 맞아 소중한 사람을 위해 선물을 고민하는 고객을 겨냥해 다양한 선물 세트를 잇달아 출시하고 있다. 3일 업계에 따르면 아모레퍼시픽의 글로벌 럭셔리 스킨케어 브랜드 설화수는 설화수만의 가치가 담긴 품격 높은 지함보 포장 서비스가 포함된 선물 세트를 제안했다. 설화수를 대표하는 윤조에센스와 자음생크림 리치의 기획 세트가 가장 눈길을 끈다. '윤조에센스 기획 세트'는 윤조에센스 본품에 자음생크림 리치, 순행클렌징폼, 윤조에센스 견본까지 함께 구성해 클렌징부터 안티에이징 케어까지 가능하다. '자음생크림리치 기획 세트'는 자음생크림리치 본품에 자음생캡슐세럼, 윤조에센스, 순행클렌징폼까지 3종의 견본이 함께 들어있다. '셀프 케어'에 대한 관심이 높아진 요즘 집에서도 전문가 못지않은 뷰티 루틴을 완성할 수 있는 홈케어 제품이 가정의 달 선물로 각광받고 있다. 바이오힐 보는 피부미용 의료기기 전문 기업 슈링크와 공동개발 프로젝트를 통해 '프로바이오덤™ 콜라겐 리모델링 모공슈링크 한정 기획세트'를 선보였다. 올리브영 대표 모공 탄력 세럼인 바이오힐 보의 프로바이오덤™ 콜라겐 리모델링 세럼과 슈링크 연구진의 노하우가 담긴 슈링크 RX 포어슈링크 딥샷 디바이스가 포함된 구성이다. 슈링크 연구진의 차별화된 탄력 노하우 슈링크 포레이션 기술이 피부에 미세홀을 형성해 유효성분을 침투시킨다. 노스페이스는 어버이날 효도 선물로 최상급 테크니컬 라인 '써밋 시리즈'를 추천했다. 써밋 시리즈의 트레일윈드 재킷은 러닝과 아웃도어 활동에 적합한 초경량 아이템이자 군더더기 없는 깔끔한 디자인을 바탕으로 일상생활에서도 활용하기 좋은 제품이다. '스윙 반팔 폴로티'는 신축성이 좋은 냉감 시어서커 소재를 적용해 장시간 착용에도 옷이 피부에 직접 닿는 것을 최소화해 쾌적함을 유지시켜준다. 깔끔하면서 고급스러운 디자인과 색상이 적용돼 산책, 조깅, 등산 등 다양한 아웃도어 활동은 물론, 일상생활에서도 폭넓게 활용 가능한 아이템이다. 스위스 대표 시계 브랜드 스와치의 어린이 시계 브랜드 플릭플락(Flik Flak)dms 이 사랑하는 반려동물과의 순간을 영원히 간직할 수 있는 '프렌즈 퍼-에퍼'(FRIENDS FUR-EVER) 컬렉션을 출시했다. 강아지, 고양이, 햄스터, 토끼, 앵무새 등 각기 다른 9가지 일러스트를 통해 독특하면서도 유쾌하게 시계 보는 법을 배울 수 있다. 아이들의 첫 번째 시계로 제격인 '커들리 햄스터'(CUDDLY HAMSTER)는 깜찍한 비주얼의 햄스터가 그려졌다. 다이얼 위 크리스털 스톤과 진줏빛 불투명 화이트 케이스가 적용됐다. 아이들이 가장 좋아하는 반려동물인 강아지는 3가지 모델로 표현됐다. 큐티 퍼(CUTIE PUPPY)는 투명한 다크 블루 케이스와 재활용 PET 소재 스트랩에 위트 넘치는 강아지를 더했다. '우프 우프 타임'(WOOF WOOF TIME)은 귀여운 강아지 프린트와 핑크 디테일을, '스케이팅 프렌치'(SKATING FRENCHIE)는 개성 넘치는 메탈릭 효과 다이얼과 회전 베젤을 자랑한다. 오설록은 종이를 오려 붙인 기법으로 식물 소재의 독특한 작품을 만드는 작가 마키토이와 협업한 '감사의 달' 에디션을 선보였다. 매거진 스타일의 북 패키지에 오설록의 다채로운 차를 담은 '티 베리에이션 오'와 베스트셀러 티백 10종을 담은 '프리미엄 티 컬렉션', 카카오톡 선물하기로 인기를 끌고 있는 '포레스트 티 박스'까지 컬래버 에디션으로 내놨다. 마키토이 작가의 상상력이 담긴 '오설록X마키토이 해차 세트'도 선보인다. 구성품으로는 올해 첫 수확한 오설록 골든픽 2025 2종과 콜라보 파우치, 유리머그, 티스트레이너, 티백홀더가 포함돼 있다.",https://www.news1.kr/industry/distribution/5772088,아모레퍼시픽,6
"아리얼, '더 퍼펙트 레몬진저 버블 클렌저' 신제품 출시",2025년 05월 02일 16:52,머니투데이,https://thumb.mt.co.kr/06/2025/05/2025050209073035862_1.jpg,"효능에 기반한 글로벌 자연주의 스킨케어 브랜드 아리얼(Ariul)에서 '더 퍼펙트 레몬 진저 버블 클저'를 새롭게 출시했다고 밝혔다. 특히 출시와 동시에 올리브영 온라인 몰에 입점은 물론 클렌징 카테고리 부문 1위를 차지하며 독보적인 행보를 보여주고 있다. 입점과 동시에 올리브영 클렌징 카테고리 부문 랭킹 1위를 달성한 화제의 신제품 '레몬 진저 버블 클렌저'는 젤에서 폼으로 변하는 트랜스포밍 제형으로, 미세 버블이 노폐물을 불리고 흡착해 메이크업부터 각종 노폐물까지 한 번에 제거해주는 신개념 젤 클렌저 제품이다. 또한 풍부한 비타민C 함유로 어두운 피부 톤을 밝게 케어하는데 도움을 주는 레몬수와 순환을 촉진시켜 건강한 피부톤을 유지하는데 도움을 주는 생강추출물이 함유되어 맑고 투명한 피부로 가꿔준다. 이 외에도 피부 장벽을 지켜주는 세라마이드, 콜레스테롤, 지방산은 물론 17종 아미노산, 저분자히알루론산, 비타민 3종이 피부에 꼭 필요한 보습 성분을 함유해 세안 후에도 건조함 없이 촉촉하게 마무리할 수 있다. 아리얼 관계자는 ""이번 아리얼 신제품 레몬 진저 버블 클렌저는 레몬과 진저 성분의 시너지로 한 번의 세안만으로도 맑은 피부를 느낄 수 있는 것이 특징""이라며 ""젤 투 폼 텍스처로 올인원으로 간편하게 세안을 끝내고 싶은 고객에게 최적의 솔루션이 될 것""이라고 말했다. 한편, 아리얼에서 새롭게 선보이는 '더 퍼펙트 레몬 진저 버블 클렌저'는 올리브영 온라인몰에서 만나볼 수 있으며 출시 기념 리뷰 인증 이벤트도 함께 진행하고 있다. ⓒ 머니투데이 & mt.co.kr, 무단 전재 및 재배포 금지",https://news.mt.co.kr/mtview.php?no=2025050209073035862&TOSS,아모레퍼시픽,2
"[리포트 브리핑]아모레퍼시픽, '반가운 어닝 서프라이즈' 목표가 185,000원 - 신한투자증권",2025년 05월 02일 14:41,뉴스핌,,"[서울=뉴스핌] 로보뉴스 = 신한투자증권에서 02일 아모레퍼시픽에 대해 '반가운 어닝 서프라이즈'라며 투자의견 '매수'의 신규 리포트를 발행하였고, 목표가 185,000원을 내놓았다. 전일 종가 기준으로 볼 때, 이 종목의 주가는 목표가 대비 48.7%의 추가 상승여력이 있다는 해석이 가능하다. <b>◆ 아모레퍼시픽 리포트 주요내용</b> 신한투자증권에서 아모레퍼시픽에 대해 '서구권에서 뻗어나가는 아모레 입지. 1Q25 Review: 본업 실적 성장은 예상치에 수렴하는 중'라고 분석했다. <b>◆ 아모레퍼시픽 직전 목표가 대비 변동- 목표가 상향조정, 163,000원 -> 185,000원(+13.5%)- 신한투자증권, 최근 1년 목표가 하락</b> 신한투자증권 박현진 애널리스트가 이 종목에 대하여 제시한 목표가 185,000원은 2025년 03월 25일 발행된 신한투자증권의 직전 목표가인 163,000원 대비 13.5% 증가한 가격이다. 최근 1년 동안 이 종목에 대해 신한투자증권이 제시한 목표가를 살펴보면, 24년 05월 29일 220,000원을 제시한 이후 하락하여 24년 10월 10일 최저 목표가인 163,000원을 제시하였다. 이번 리포트에서는 처음 목표가에는 못 미치지만 최저 목표가보다는 다소 상승한 가격인 185,000원을 제시하였다. <b>◆ 아모레퍼시픽 목표가 컨센서스 비교- 평균 목표가 161,944원, 신한투자증권 긍정적 평가- 지난 6개월 대비 전체 컨센서스 보수적 변화- 목표가 상향조정 증권사 3개</b> 오늘 신한투자증권에서 제시한 목표가 185,000원은 최근 6개월 전체 증권사 평균 목표가인 161,944원 대비 14.2% 높지만 전체 증권사 중 최고 목표가인 하나증권의 200,000원 보다는 -7.5% 낮다. 이는 신한투자증권이 타 증권사들보다 아모레퍼시픽의 주가를 비교적 긍정적으로 평가하고 있음을 의미한다. 참고로 최근 6개월 전체 증권사의 평균 목표가인 161,944원은 직전 6개월 평균 목표가였던 178,421원 대비 -9.2% 하락하였다. 이를 통해 아모레퍼시픽의 향후 주가에 대한 증권사들의 전체적인 분석이 보수적으로 변하였음을 알 수 있다. 이 기사는 뉴스핌과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 저작권자(c) 글로벌리더의 지름길 종합뉴스통신사 뉴스핌(Newspim), 무단 전재-재배포 금지",https://www.newspim.com/news/view/20250502000656,아모레퍼시픽,8
"[리포트 브리핑]아모레퍼시픽, '성과가 가시적이다, 글로벌 리밸런싱' 목표가 170,000원 - 현대차증권",2025년 05월 02일 14:31,뉴스핌,,"[서울=뉴스핌] 로보뉴스 = 현대차증권에서 02일 아모레퍼시픽에 대해 '성과가 가시적이다, 글로벌 리밸런싱'라며 투자의견 'BUY'의 신규 리포트를 발행하였고, 목표가 170,000원을 내놓았다. 전일 종가 기준으로 볼 때, 이 종목의 주가는 목표가 대비 36.7%의 추가 상승여력이 있다는 해석이 가능하다. <b>◆ 아모레퍼시픽 리포트 주요내용</b> 현대차증권에서 아모레퍼시픽에 대해 '예상보다 빠른 중국의 흑자 전환 및 미주/유럽/중동/일본 지역으로의 저변 확대 성과가 가시화되고 있는 점 긍정적.'라고 분석했다. <b>◆ 아모레퍼시픽 직전 목표가 대비 변동- 목표가 상향조정, 150,000원 -> 170,000원(+13.3%)- 현대차증권, 최근 1년 목표가 하락</b> 현대차증권 하희지 애널리스트가 이 종목에 대하여 제시한 목표가 170,000원은 2025년 03월 28일 발행된 현대차증권의 직전 목표가인 150,000원 대비 13.3% 증가한 가격이다. 최근 1년 동안 이 종목에 대해 현대차증권이 제시한 목표가를 살펴보면, 24년 05월 31일 230,000원을 제시한 이후 하락하여 25년 01월 10일 최저 목표가인 150,000원을 제시하였다. 이번 리포트에서는 처음 목표가에는 못 미치지만 최저 목표가보다는 다소 상승한 가격인 170,000원을 제시하였다. <b>◆ 아모레퍼시픽 목표가 컨센서스 비교- 평균 목표가 160,722원, 현대차증권 긍정적 평가- 지난 6개월 대비 전체 컨센서스 보수적 변화- 목표가 상향조정 증권사 2개</b> 오늘 현대차증권에서 제시한 목표가 170,000원은 최근 6개월 전체 증권사 평균 목표가인 160,722원 대비 5.8% 높지만 전체 증권사 중 최고 목표가인 하나증권의 200,000원 보다는 -15.0% 낮다. 이는 현대차증권이 타 증권사들보다 아모레퍼시픽의 주가를 비교적 긍정적으로 평가하고 있음을 의미한다. 참고로 최근 6개월 전체 증권사의 평균 목표가인 160,722원은 직전 6개월 평균 목표가였던 178,421원 대비 -9.9% 하락하였다. 이를 통해 아모레퍼시픽의 향후 주가에 대한 증권사들의 전체적인 분석이 보수적으로 변하였음을 알 수 있다. 이 기사는 뉴스핌과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 저작권자(c) 글로벌리더의 지름길 종합뉴스통신사 뉴스핌(Newspim), 무단 전재-재배포 금지",https://www.newspim.com/news/view/20250502000633,아모레퍼시픽,6
"DB증권 ""아모레퍼시픽, 하반기 실적 추정치 상향 가능성""",2025년 05월 02일 08:20,YNA,,"DB증권 ""아모레퍼시픽, 하반기 실적 추정치 상향 가능성""     (서울=연합뉴스) 송은경 기자 = DB증권[016610]은 2일 아모레퍼시픽[090430]에 대해 ""하반기로 갈수록 실적 추정치가 상향될 수 있다""며 연간 실적 추정치와 목표주가를 모두 상향 조정했다.     허제나 DB증권 연구원은 이날 보고서에서 아모레퍼시픽 목표주가를 기존 15만원에서 17만원으로 올려 잡는다고 밝혔다. 연결 기준 2025년 아모레퍼시픽 매출액은 4조1천920억원, 영업이익은 4천140억원을 제시했다.     아모레퍼시픽은 올해 1분기 연결 기준 매출 1조 675억원, 영업이익 1천177억원을 기록하며 증권사 실적 눈높이를 웃도는 실적을 냈다.     이와 관련해 허 연구원은 ""아모레퍼시픽의 체질 개선 작업과 함께 라네즈를 필두로 에스트라, 프리메라, 헤라 등 프리미엄 브랜드가 해외에서 안착해 인지도 제고 효과가 나타나고 있다""고 평가했다.     이어 ""2분기부터 실적 기저도 낮아질 전망""이라며 ""고정비 슬림화 작업이 마무리되며 하반기 매출 반등 시 마진 개선을 기대할 수 있을 것""이라고 전망했다.     허 연구원은 ""시장의 소비 흐름에 발맞춘 프리미엄 브랜드 육성 작업이 성과를 보이기 시작한 것이 고무적""이라면서 ""중국에서 채널 체질 개선 작업 또한 마무리되는 국면""이라고 부연했다.     투자의견은 '매수'를 유지했으며, 화장품 대형주 중 최선호주로 꼽았다.     norae@yna.co.kr (끝) <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>",https://www.yna.co.kr/view/AKR20250502023500008?input=2903m,아모레퍼시픽,6
"""아모레퍼시픽, 1Q 실적 기대치 상회"" 목표가 14만 유지-한화",2025년 05월 02일 08:20,머니투데이,https://thumb.mt.co.kr/06/2025/05/2025050208152353523_1.jpg,"한화투자증권이 아모레퍼시픽에 대해 투자의견 '매수', 목표주가 14만원을 유지했다. 중국 법인이 8개 분기 만에 흑자 전환했고, 신성장 브랜드 추가로 실적 서프라이즈를 기록한 점이 긍정적이라는 평이다. 2일 한유정 한화투자증권 연구원은 ""올해 1분기 아모레퍼시픽의 연결 매출액은 1조 675억원(전년 동기 대비 +17.1%, 전 분기 대비 -2.2%), 영업이익은 1177억원(+62%, +50%)으로 시장 기대치 영업이익(995억원)을 큰 폭으로 상회했다. 코스알엑스 연결 편입 효과를 제외한 1분기 매출액은 9680억원(전년 동기 대비 +6%), 영업이익은 899억원(+24%)""이라고 밝혔다. 지역별로는 ""한국(매출 비중 54%)은 면세 매출 하락에도 성장 채널과 전통 채널에서 모두 매출이 증가했고, 코스알엑스 연결 편입 효과까지 반영돼 영업이익은 전년 수준을 유지했다. 아시아(매출 비중 24%)는 중국 법인의 오프라인 채널 효율화로 전체 화장품 브랜드 매출액이 감소했지만, 주요 플랫폼 거래 구조 개선으로 흑자 전환했다""고 설명했다. 또 ""미주(매출 비중 15%)는 브랜드 면에서 라네즈, 이니스프리, 설화수 등 주요 브랜드가, 채널 면에서는 세포라와 아마존이 매출 성장을 견인했다. 이에 원화 기준 미주 매출액은 코스알엑스 연결 편입 효과를 제외해도 전년 동기 대비 34% 성장했고, 코스알엑스를 포함하면 53% 성장했다""고 했다. 한 연구원은 ""지난 3월 미국에서 런칭한 더마 브랜드인 에스트라의 온기 반영 및 입점 매장 확대로 하반기로 갈수록 실적 기여도가 확대될 것""이라며 ""한국에서 성공적으로 자리 잡은 브랜드가 일본, 미국 등 주요 시장을 시작으로 해외 진출을 본격화할 계획이다. 이는 향후 지역별 포트폴리오와 수익 구조에 점진적인 변화를 가져올 가능성이 높다""고 내다봤다. ⓒ 머니투데이 & mt.co.kr, 무단 전재 및 재배포 금지",https://news.mt.co.kr/mtview.php?no=2025050208152353523&TOSS,아모레퍼시픽,5
"신한 ""아모레퍼시픽, 현 주가 바닥…서구권 입지 다지는 중""",2025년 05월 02일 08:07,이투데이,https://img.etoday.co.kr/pto_db/2025/05/20250502080521_2168213_569_200.png,"신한투자증권이 2일 아모레퍼시픽에 대해 현재 주가가 바닥 수준에 와 있다고 평가했다. 목표주가는 18만5000원으로 높여잡고, 투자의견은 '매수'를 제시했다. 전 거래일 종가는 12만4400원이다. 아모레퍼시픽은 올해 1분기 영업이익이 전년 동기 대비 62% 늘어난 1177억원을 기록했다고 30일 공시했다. 같은 기간 매출액과 당기순이익은 각각 1조675억원과 1190억원으로 17.1%와 48.5% 증가했다. 영업이익률은 11%로 3%p 개선됐다. 주목할 점은 영업이익이 컨센서스를 10% 이상 상회했다는 점이다.  국내외 인센티브 충당금 인식으로 인건비가 29%, 코스알엑스 무형자산 상각비용 인식으로 감가상각비가 29% 증가했으나 원가 개선 및 할인율 통제, 채널&제품 믹스 개선으로 총이익률이 1.2%p 늘었다. 지역별로는 유럽 매출이 가장 크게(219%) 늘었다. 다만 중화권에서는 유일하게 10% 하락했다. 코스알엑스 매출은 35% 감소해 시장 예상보다는 부진했다. 박현진 신한투자증권 연구원은 ""유통채널 조정과 가격 안정화 과정에 있어 매출이 부진하지만 올해 2분기~3분기부터 매출 감소폭을 줄일 것으로 회사는 언급했다""며 ""북미 내 라네즈가 립 제품 외 크림류에서도 유통채널 순위가 상승하고 있다는 점은 긍정적이다. 글로벌 사업 리밸런싱 가속화 추세가 부각되고 있다""고 평가했다. 박 연구원은 이어 ""결국 북미와 유럽, 일본 매출 성장이 강세를 보이고 중국이 영업 흑자 전환에 빠르게 성공한 게 호실적의 이유""라며 ""목표주가 산정에 기준이 되는 12개월 예상 주당순이익이 밸류에이션 시점 변화에 따라 13% 상승해 목표주가도 상향한다. 현 주가를 바닥으로 보고 매수 추천을 유지한다""고 밝혔다. 또 ""다만 화장품 업종 평균 밸류에이션이 하락해 목표 주가수익비율(PER)은 32배에서 28배로 조정한다""고 덧붙였다.",https://www.etoday.co.kr/news/view/2467430,아모레퍼시픽,9
"한화투자證 “아모레퍼시픽, 1분기 영업익 시장 전망치 상회”… 투자의견 ‘매수’",2025년 05월 02일 07:50,조선비즈,https://biz.chosun.com/resizer/v2/ZCUUVBTFPEIRBUTBHFRTC5VT44.jpg?auth=c0abdf36375c0d73dcbeeea21e2f37ddd04fd03e0dbf38c69fe1ce2056c8c182&width=3924&height=2212&smart=true,"한화투자증권이 아모레퍼시픽 목표주가로 14만원를 제시했다. 지난 1분기 영업이익이 시장 전망치를 뛰어넘는 등 올해 실적 개선이 예상된다는 판단에서다. 투자의견은 ‘매수’를 유지했다. 2일 한화투자증권에 따르면 지난 1분기 아모레퍼시픽 영업이익은 1177억원으로 전년 동기 대비 62% 증가하며 995억원이었던 시장 전망치를 웃돌았다. 라네즈, 이니스프리, 설화수 등 주요 브랜드가 성장을 견인하며 지난 1분기 매출도 1조675억원으로 전년 동기 대비 17.1% 증가했다. 한유정 한화투자증권 연구원은 “8개 분기 만에 중국법인이 흑자 전환했다”면서 “에스트라 등 신성장 브랜드 추가로 실적 서프라이즈를 기록했다”고 말했다. 한화투자증권은 하반기 실적이 더욱 개선될 것으로 내다봤다. 아모레퍼시픽이 5월 중으로 미국에서 신규 브랜드를 추가 출시할 예정으로 알려져서다. 한 연구원은 “글로벌 시장 확대가 본격화하는 가운데, 이는 향후 지역별 포트폴리오와 수익 구조에 점진적인 변화를 불러올 가능성이 크다”고 말했다.",https://biz.chosun.com/5RF6LG3AQ5DUZIBK7CMTDXMZYI,아모레퍼시픽,4
"아모레퍼시픽,1Q 실적 컨센 상회…하반기 실적 모멘텀 강화-대신",2025년 05월 02일 07:41,이데일리,https://image.edaily.co.kr/images/photo/files/NP/S/2025/05/PS25050200367.jpg,"[이데일리 신하연 기자] 대신증권은 아모레퍼시픽에 대해 브랜드 포트폴리오와 지역 다변화를 통해 글로벌 브랜드사로 도약 중이며 중국법인이 흑자전환에 성공한 점도 긍정적이라고 진단했다. 투자의견 ‘매수’와 목표주가 16만원은 유지했다. 정한솔 대신증권 연구원은 2일 “2분기에는 계절적 비수기 진입과 더불어 서구권 마케팅 집행 확대 및 호실적에 따른 성과급 충당금 증가 가능성이 존재한다”면서도 “글로벌 리밸런싱 효과로 본업의 실적 안정성이 확보되고 있고 COSRX 채널·가격 재정비 마무리와 신제품 출시 등으로 점진적 매출 회복이 예상되는 만큼 하반기 실적 모멘텀이 강화될 것으로 기대한다”고 설명했다. 아모레퍼시픽은 1분기 매출액이 전년 동기 대비 2% 증가한 1조 675억원, 같은 기간 영업이익은 62% 증가한 1177억원(영업이익률 11.0%)을 기록하며 컨센서스를 상회했다. COSRX를 제외하면 매출액과 영업이익은 각각 전년 동기 대비 6%, 24% 증가한 수치다. 국내법인의 경우 매출액과 영업이익은 각각 5773억원, 494억원으로 전년 동기 대비 2%, 1% 각각 증가했다. 이에 대해 정 연구원은 “인건비 충당금 약 250억원이 발생하면서 채널·제품 믹스 개선에도 영업이익 증가가 제한적이었다”고 평가했다. 또 “면세는 여전히 역성장(전년 대비 -14%) 했으나, 면세 제외 국내 매출 전년 대비 6%성장한 것으로 추정한다”며 “국내 소비 부진에도 전통채널 백화점과 방판 소폭 성장했으며 이커머스및 MBS 채널 두자리수 성장 지속하며 성장을 견인했다”고 짚었다. 주요 브랜드 및 기능성 제품이 MBS 및 이커머스 채널에서 고성장하며 매출이 증가했으나 일회성 인건비 증가와 마케팅 비용 확대로 수익성은 하락했다는 설명이다. 해외법인의 경우 COSRX 편입 효과로 매출액과 영업이익이 각각 전년 동기 대비 40%, 121% 증가한 4730억원, 696억원을 기록했다. 정 연구원은 “COSRX 제외 매출액 북미 30%, 유럽 70% 이상 고성장하며 서구권 내 AP 브랜드의 경쟁력 입증하고 있다”며 “일본도 40% 이상 성장하며 글로벌 리밸런싱 가속화 중”이라고 진단했다. 이어 “중국은 채널 구조조정으로 매출액이 15% 감소했으나 비용 효율화와 주요 플랫폼 구조 개선효과로 시장 예상보다 빠르게 8개 분기 만에 흑자전환에 성공했다”고 덧붙였다. 또 “COSRX는 북미 리테일 재고 조정이 이어지고 있고 동남아 가격 재정비로 매출액이 전년 동기 대비 25% 역성장했다”면서도 “다만 효율적인 비용 집행으로 높은 수익성 유지하며 영업이익률은 27%로 추정된다”고 전망했다. 그러면서 “2분기까지 재고 조정이 이어질 전망이나, 신제품 출시와 시장가격 정상화로 매출 점진적 회복과 비용 관리를 통해 높은 수익성을 유지할 전망”이라고 내다봤다.",https://www.edaily.co.kr/news/newspath.asp?newsid=02315686642164984,아모레퍼시픽,4
