title,date,agency,image_url,content,link_url,corp,impact_score
"""SKT 침해사고 계기, 정보보호 체계 전면 재검토""",2025년 05월 03일 11:13,한국경제,,"유상임 과학기술정보통신부 장관은 3일 10시에 한국인터넷진흥원(KISA) 인터넷침해대응센터를 찾아 사이버 침해 모니터링 및 대응 현황을 점검했다. 이동통신 3사와 네이버, 카카오, 쿠팡, 우아한형제들 등 주요 플랫폼 기업의 정보보호 현황도 점검했다. 이번 현장점검은 SK텔레콤 침해사고가 국가 네트워크 전반의 보안과 안전에 경종을 울리는 중대한 사안이라는 인식에 따라 디지털 서비스 제공 주요 기업의 정보보호최고책임자(CISO)와 정보보호 현황을 공유하고 향후 기업의 보안 역량 강화 방안을 논의하기 위해 마련됐다. 유 장관은 ""이번 침해사고를 계기로 주요정보통신기반시설 지정, 정보보호 투자, 정보보호 인증제도, 공급망 보안, 침해사고 대응 등 정보보호 체계 전반을 전면적으로 재검토해 미흡한 부분을 개선해 나가겠다""고 말했다. 이어 ""이제 디지털은 국민의 일상생활과 밀접하게 자리 잡고 있다. 이를 제공하는 기업들이 더욱 책임감을 가지고 국민들이 안전하게 디지털을 사용할 수 있도록 정보보호 투자를 확대하는 한편, 다양한 사이버 위협에 철저히 대응하기를 바란다""고 당부했다.",https://www.hankyung.com/article/2025050318047,카카오,9
"과기정통부, 통신사·플랫폼 기업 사이버보안 현장점검",2025년 05월 03일 10:20,전자신문,https://img.etnews.com/news/article/2025/02/07/news-p.v1.20250207.1305d903f8664b5381c6e470672b6604_P1.jpg,"과학기술정보통신부 유상임 장관이 한국인터넷진흥원 인터넷침해대응센터를 방문해 사이버 침해 모니터링 및 대응 현황을 점검하는 한편, 통신 3사와 주요 플랫폼 기업(네이버, 카카오, 쿠팡, 우아한형제들) 정보보호 현황을 점검했다. 이번 현장점검은 SKT 침해사고가 국가 네트워크 전반의 보안과 안전에 경종을 울리는 중대한 사안이라는 인식 하에, 디지털 서비스 제공 주요 기업의 정보보호최고책임자(CISO)와 정보보호 현황을 공유하고 향후 기업 보안 역량 강화 방안을 논의하는 목적으로 마련됐다. 유상임 과기정통부 장관은 “이번 침해사고를 계기로 주요정보통신기반시설 지정, 정보보호 투자, 정보보호 인증제도, 공급망 보안, 침해사고 대응 등 정보보호 체계 전반을 전면적으로 재검토하여 미흡한 부분을 개선해 나가겠다”며 “이제 디지털은 국민의 일상생활과 밀접하게 자리잡고 있다. 이를 제공하는 기업이 더욱 책임감을 가지고 국민들이 안전하게 디지털을 사용할 수 있도록 정보보호 투자를 확대하는 한편, 다양한 사이버 위협에 철저히 대응하기 바란다”고 말했다.",https://www.etnews.com/20250503000026,카카오,9
전시·선물부터 나들이까지…황금연휴 어떤 혜택 있을까,2025년 05월 03일 06:35,NEWS1,https://image.news1.kr/system/photos/2025/5/2/7268645/high.jpg,"카카오가 황금연휴를 맞아 지도부터 선물하기까지 용도별로 유용한 기능과 혜택을 제공한다. 3일 카카오에 따르면 카카오맵은 5월 연휴 기간 '아이와 함께'라는 주제로 자녀와 방문하기 좋은 장소를 추천해 준다. 카카오맵 애플리케이션(앱) 검색창에 '아이와 함께'를 검색하면 발견 탭에서 추천 장소를 확인할 수 있다. 장소는 △수도권 △강원권 △충청권 △대구·경북권 △광주·전남·전북권 △부산·울산·경남권 △제주권 등 지역별로 나눠서 추천한다. 총 22개 즐겨찾기에서 약 1400개의 장소 정보를 확인할 수 있으며 이색 도서관, 과학 도서관, 키즈 리조트, 호텔 등 아이를 위한 특색 있는 장소를 한눈에 보여준다. 카카오톡 선물하기는 '행복이 넘치는 5월, 가정의 달' 테마 이벤트를 운영한다. 어린이날과 어버이날 통합 기획전은 5월 5일까지 이어진다. 이 기간 카카오톡 선물하기에서는 매일 오전 10시에 새로운 '24시간 타임특가' 상품을 선보인다. 어린이의 연령별 선물 큐레이션과 함께 인기 교환권 선물도 제공한다. 6일부터 8일까지는 어버이날을 기념하는 별도 기획전을 마련한다. 카카오페이로 배송 상품을 10만 원 이상 결제하면 7% 즉시 할인 혜택도 제공한다. 할인 금액은 최대 1만 원까지며 할인 횟수는 무제한이다. 9일부터 15일까지 진행되는 스승의날 기획전에서는 감사의 마음을 전하는 의미로 특별한 결제 혜택을 마련했다. 카카오뱅크 충전 결제를 통해 배송 상품을 구매하면 기존 적립률보다 2배 높은 4% 쇼핑 포인트를 적립할 수 있다. 한 번에 최대 5만 포인트를 적립할 수 있으며 횟수는 무제한이다. 14일부터 19일까지 성년의날 기획전에서는 올해 만 19세가 되는 이들을 위해 올해 기준 20세인 이용자들이 위시리스트에 가장 많이 담은 상품을 보여준다. 카카오쇼핑라이브와 연계 프로모션도 준비했다. 선물 수요가 많은 인기 뷰티 브랜드가 라이브 방송에 참여하며, 방송 기간 중 카카오페이로 결제하면 7% 즉시 할인 혜택을 제공한다. 카카오톡 예약하기는 연휴 기간 즐기기 좋은 전시와 나들이 장소, 식당에서 사용할 수 있는 할인 혜택을 선보인다. 롯데뮤지엄의 기획전 '아뜰리에 가나: since 1975' 전시와 예술의전당 한가람미술관에서 열리는 '앤서니 브라운 전: 마스터 오브 스토리텔링' 전시 티켓을 개막 특가인 40% 할인가로 제공한다. 연휴 기간 나들이를 즐길 수 있도록 '춘천 삼악산 호수 케이블카' 티켓도 35% 할인된 가격으로 마련했다. '비스타 워커힐 서울 명월관'과 '그랜드 워커힐 서울 온달', '그랜드 워커힐 서울 금룡'에서는 가정의 달을 맞아 특별 메뉴를 20% 할인 가격에 제공한다.",https://www.news1.kr/it-science/general-it/5772639,카카오,4
"""앱으로 동물 키우고 고구마 캐서 돈 번다""···네·카·토 '이것' 경쟁 활활 [S머니-플러스]",2025년 05월 03일 05:30,서울경제,https://newsimg.sedaily.com/2025/05/03/2GSNK1UF0G_1.jpg,"고물가가 이어지면서 지출을 최소화하는 짠테크(짠돌이와 재테크의 합성어)가 유행하는 가운데 스마트폰 애플리케이션을 활용해 돈을 버는 앱테크(앱과 재테크의 합성어)가 주목받고 있다. 만보기나 뽑기·퀴즈 등 간단한 활동으로 포인트나 치킨 등 소소한 보상을 받을 수 있는가 하면, 여행 수요 등 실생활에 도움되는 각종 할인·적립 이벤트들도 쏟아지고 있기 때문이다. 국내 3대 핀테크 기업인 네이버페이와 카카오페이·토스는 이러한 앱테크 유행을 고객 유인의 기회로 삼고 차별화된 콘텐츠를 선보이고 있다. 3일 금융계에 따르면 고물가와 경기 침체가 이어지면서 재테크족 사이에서는 핀테크 앱을 활용한 앱테크가 유행하고 있다. 스마트폰을 활용해 누구나 쉽게 참여할 수 있는 데다 각 사마다 눈길을 끄는 콘텐츠까지 내놓으면서 지출을 최소화해 생활비를 줄이는 짠테크족들의 참여가 활발하다. 만보기와 뽑기, 퀴즈 이벤트를 통한 포인트 적립은 기본적인 앱테크로 꼽힌다. 가장 잘 알려진 곳은 토스다. 토스에서는 지난달 친구에게 이벤트 링크를 공유하면 치킨 뽑기 기회를 주는 이벤트가 큰 관심을 끌었다. 만보기 서비스를 통해서는 1만 보 이내에서 걸음 수에 따라 포인트를 제공한다. 지난해 기준 만보기는 토스 가입자의 40%가 넘는 약 1150만 명이 사용하며 이용자들은 평균 약 2900원을 적립한 것으로 집계됐다. 매일 토스 앱에서 뽑기를 통해 랜덤 포인트를 지급받는 ‘행운 복권’ 서비스와 제휴 브랜드에서 출제한 문제를 맞히면 리워드를 주는 ‘행운 퀴즈’도 인기다. 네이버페이에서는 주식 가격 예측 이벤트가 앱테크족의 큰 관심을 끌고 있다. 증권 계좌를 연결하고 매일 주가를 예측하는 이벤트로, 예측에 실패해도 소정의 포인트를 제공하며 1주일 동안 가장 많이 예측에 성공한 예측왕에게는 최대 3만 포인트를 준다. 이 밖에 미션별 받기, 쉽게 받기 등 앱테크를 노려볼 수 있는 다양한 혜택을 제공한다. 카카오페이 역시 출석체크와 퀴즈타임, 매일 모으기, 만보기 등 다양한 서비스를 통해 카카오페이 포인트를 지급한다. 카카오페이 만보기는 단순한 걸음 수 측정을 넘어 친구나 팀 대결 등 다양한 게임 요소를 더한 것이 특징이다. 핀테크 업계에서는 이러한 앱테크 서비스가 고객을 끌어모으기 위한 수단으로 자리 잡으면서 업체마다 차별화된 콘텐츠를 내놓으려는 시도가 이어지고 있다. 카카오페이에서는 카카오 유명 캐릭터인 춘식이를 활용한 미니게임 ‘춘식이팜’이 인기다. 고구마를 심으면 심은 고구마 수량에 따라 포인트를 바꿔주는 식이다. 네이버페이는 ‘페이펫 키우기’ 서비스에 캐릭터를 성장시키는 다양한 재미 요소를 더한 페이펫 키우기 시즌2를 올 1월부터 시작했다. 강아지와 고양이·햄스터 등 귀여운 캐릭터들을 키우면서 랜덤 포인트를 적립하는 서비스다. 토스의 ‘고양이 키우기’ 역시 이와 비슷한 서비스로 주어진 미션을 수행하면 커피 쿠폰 등을 지급한다. 여행 수요가 커지면서 여행족들을 노린 이벤트들 또한 쏟아지고 있다. 네이버페이는 SK텔레콤과 함께 해외에서 QR로 건당 2만 원 이상 결제 시 로밍 요금 할인 1만 원, 네이버페이포인트 제공 1만 원 등 최대 2만 원 상당의 혜택을 제공하는 이벤트를 진행 중이다. 토스페이도 지난달 제주항공·아시아나항공 결제 할인 이벤트를 실시한 바 있다. [ⓒ 서울경제, 무단 전재 및 재배포 금지]",https://www.sedaily.com/NewsView/2GSNK1UF0G,카카오,2
"법원, 카카오페이에 개보위가 부과한 제재 '제동'",2025년 05월 02일 21:25,이데일리,https://image.edaily.co.kr/images/photo/files/NP/S/2025/05/PS25050201359.jpg,[이데일리 강민구 기자] 고객 개인정보를 동의 없이 애플과 위수탁 관계인 중국의 알리페이에 제공해 개인정보보호위원회가 카카오페이에 부과한 시정명령 효력을 법원이 멈췄다. 2일 법조계에 따르면 서울행정법원 행정12부는 지난달 30일 카카오페이가 개인정보위를 상대로 낸 집행정지 신청을 인용했다. 재판부는 개인정보 국외 이전에 대한 적법성을 갖추도록 한 시정명령과 홈페이지 및 애플리케이션에 관련 사실을 게시하도록 한 공표명령의 효력을 멈추도록 했다. 재판부는 “각 처분으로 신청인에게 발생할 회복하기 어려운 손해를 예방하기 위해 긴급한 필요가 있다고 인정된다”며 “효력정지로 공공복리에 중대한 영향을 미칠 우려가 있는 때에 해당하지 않는다”고 이유를 설명했다. 다만 개인정보위가 부과한 과징금은 집행정지 대상에 포함되지 않는다. 개인정보위는 지난 1월 카카오페이에 59억6천800만원의 과징금을 부과했다. 이에 대해 카카오페이는 애플 서비스에서 부정거래 방지를 위해 알리페이 시스템을 이용하는 과정에서 알리페이에게 정보처리 위탁을 맡긴 것이기 때문에 적법한 업무 위수탁이라는 입장을 밝힌 바 있다.,https://www.edaily.co.kr/news/newspath.asp?newsid=04959366642164984,카카오,9
“개인정보 시정명령 효력 정지” 카카오페이 손 들어준 법원,2025년 05월 02일 21:09,매일경제,https://wimg.mk.co.kr/news/cms/202505/02/news-p.v1.20250502.d4ffb628a1a54cdbb34b1c6f3975ac00_P1.png,"개인정보보호위원회가 고객 개인정보를 중국의 알리페이에 넘긴 카카오페이에 부과한 시정명령의 효력을 법원이 멈췄다. 2일 법조계에 따르면 서울행정법원 행정12부(강재원 부장판사)는 지난달 30일 카카오페이가 개인정보위를 상대로 낸 집행정지 신청을 인용했다. 재판부는 개인정보 국외 이전에 대한 적법성을 갖추도록 한 시정명령과 홈페이지·애플리케이션에 관련 사실을 게시하도록 한 공표명령의 효력을 멈추도록 했다. 재판부는 “각 처분으로 인해 신청인에게 발생할 회복하기 어려운 손해를 예방하기 위해 긴급한 필요가 있다고 인정된다”며 “효력정지로 인해 공공복리에 중대한 영향을 미칠 우려가 있는 때에 해당하지 않는다”고 밝혔다. 다만 개인정보위가 부과한 과징금은 집행정지 대상에 포함되지 않는다. 개인정보위는 카카오페이가 약 4000만명인 전체 이용자 개인정보를 동의 없이 애플의 서비스 이용자 평가를 위해 알리페이에 제공했다며 지난 1월 59억6800만원의 과징금을 부과하고 시정명령을 내렸다. 카카오페이 측은 지난달 18일 열린 1차 심문기일에서 알리페이에 개인 정보를 넘긴 게 합법적인 처리위탁이었다며 신속한 집행 정지를 요구했다. [ⓒ 매일경제 & mk.co.kr, 무단 전재, 재배포 및 AI학습 이용 금지]",https://www.mk.co.kr/article/11307798,카카오,2
"법원, 고객 개인정보 알리페이에 넘긴 카카오페이 시정명령 효력 정지",2025년 05월 02일 19:51,HERALD,https://wimg.heraldcorp.com/news/cms/2025/05/02/news-p.v1.20250502.4ee6e084f2bf46848190c45afa25d931_P1.png,<b>집행정지 신청 인용…“긴급한 필요 인정”</b> [헤럴드경제=정석준 기자] 고객 개인정보를 중국의 알리페이에 넘긴 카카오페이에 개인정보보호위원회가 부과한 시정명령의 효력을 법원이 멈췄다. 2일 법조계에 따르면 서울행정법원 행정12부(강재원 부장판사)는 지난달 30일 카카오페이가 개인정보위를 상대로 낸 집행정지 신청을 인용했다. 재판부는 개인정보 국외 이전에 대한 적법성을 갖추도록 한 시정명령과 홈페이지및 애플리케이션에 관련 사실을 게시하도록 한 공표명령의 효력을 멈추도록 했다. 재판부는 “각 처분으로 인해 신청인에게 발생할 회복하기 어려운 손해를 예방하기 위해 긴급한 필요가 있다고 인정된다”며 “효력정지로 인해 공공복리에 중대한 영향을 미칠 우려가 있는 때에 해당하지 않는다”고 이유를 밝혔다. 다만 개인정보위가 부과한 과징금은 집행정지 대상에 포함되지 않는다. 개인정보위는 카카오페이가 약 4000만명인 전체 이용자 개인정보를 동의 없이 애플의 서비스 이용자 평가를 위해 알리페이에 제공했다며 지난 1월 59억6800만원의 과징금을 부과하고 시정명령을 내렸다. 카카오페이 측은 알리페이는 애플의 결제처리와 관련한 수탁사라고 주장했다. ,https://biz.heraldcorp.com/article/10479907,카카오,4
몸캠피싱 전문기업 아크링크 “카카오톡·라인 통한 유포 협박 수법 주의해야”,2025년 05월 02일 18:00,조선비즈,https://biz.chosun.com/resizer/v2/HTEF2LUTWFD2HEVVGQAIJBYY7A.jpg?auth=de69511dac2d6d173539481a3dc64c7520c351d737f409ae64e48ca75ad59b9d&width=700&height=350&smart=true,"몸캠피싱 대응 전문 기업 아크링크(Arklink)가 일상적으로 사용하는 메신저 플랫폼인 카카오톡과 라인을 악용한 몸캠피싱 수법이 증가하고 있다며, 이용자들의 각별한 주의를 당부했다. 최근 아크링크에 접수된 실제 피해 사례에 따르면, 가해자들은 데이트 앱을 통해 피해자에게 접근한 뒤 자연스럽게 카카오톡이나 라인으로의 대화 전환을 유도하는 방식을 사용하고 있다. 처음에는 친밀감을 형성하며 자연스러운 대화를 이어가다, ‘사진이 안 보내진다’거나 ‘카카오톡에서 더 편하게 얘기하자’는 식의 메시지를 보내 피해자를 다른 플랫폼으로 유인하는 것이 핵심 전략이다. 아크링크는 “가해자들은 영상 유포를 빌미로 피해자의 심리를 압박하며 1분 1초 단위로 협박 메시지를 보내 심리적 혼란을 유도한다”며, “공포와 당황 속에서 섣불리 돈을 송금하거나 채팅창을 차단하는 등 즉흥적인 행동은 오히려 대응을 어렵게 만든다”고 경고했다. 피해를 입었을 경우에는 무엇보다 침착하게 현재 상황을 판단하고, 절대로 가해자의 금전 요구에 응하지 않는 것이 중요하다. 동시에, 신속한 초동 대응을 위해 몸캠피싱 대응 전문 기업의 상담과 기술적 지원을 받는 것이 피해 확산을 막는 핵심이다. 아크링크는 현재 24시간 실시간 상담 체계와 영상 유포 차단 솔루션, 등을 기반으로 몸캠피싱 대응에 특화된 서비스를 운영 중이며, 피해자가 빠르게 일상으로 복귀할 수 있도록 심리·법률 지원까지 아우르는 보호 체계를 구축하고 있다. 아크링크 관계자는 “최근 가해자들이 특정 메신저 앱으로 대화를 유도한 뒤 범행을 이어가는 사례가 급증하고 있다”며, “이용자들이 메신저를 통해 처음 만난 사람과 사적인 영상이나 사진을 주고받는 행위는 특히 경계해야 하며, 피해 발생 시 즉시 전문가의 도움을 받아야 2차 피해를 막을 수 있다”고 강조했다. 한편 아크링크는 몸캠피싱 외에도 딥페이크 등 디지털 범죄에 대응하는 다양한 기술 기반 서비스를 제공하고 있으며, 피해자 보호와 디지털 안전망 구축을 위한 역할을 지속적으로 확대하고 있다.",https://biz.chosun.com/RMOBUV7YPNFUTCFPHBRXIYXO2Y,카카오,4
"'임단협 결렬' 카카오모빌·카카오뱅크, 5월 조정회의서 합의할까",2025년 05월 02일 16:58,NEWS1,https://image.news1.kr/system/photos/2023/11/2/6302270/high.jpg,"카카오모빌리티(424700)와 카카오뱅크 노사가 임금 및 단체협약(임단협) 결렬 후 1차 조정회의 기일을 확정했다. 2일 경기지방노동위원회에 따르면 카카오모빌리티와 전국화학섬유식품산업노동조합(화섬식품노조) 카카오지회(크루유니언)는 노조의 노동쟁의 조정신청에 따른 1차 조정회의 기일을 5월 7일 오후 3시로 확정했다. 카카오뱅크는 다음날인 8일 오후 2시 1차 조정회의를 진행한다. 노조는 카카오 정기 주주총회가 열렸던 3월 26일 9개 법인의 임단협 교섭 일괄 결렬을 선언했다. 카카오와는 이미 임단협을 체결한 상태다. 당시 노조는 △카카오모빌리티 △카카오엔터테인먼트 △카카오뱅크 △카카오페이 △카카오엔터프라이즈 △케이앤웍스 △카카오VX 7개 법인의 임금 교섭과 △카카오모빌리티 △카카오엔터테인먼트 △카카오페이 △디케이테크인 △카카오게임즈 5개 법인의 단체 교섭을 일괄 결렬했다. 그러나 노조의 설명에 따르면 일괄 결렬 선언 이후 사측에서 교섭을 제안해 일부 진전이 있었다. 이에 따라 현재 카카오 그룹의 법인 중 △카카오모빌리티 △카카오뱅크 △케이앤웍스 세 곳의 임단협 결렬이 확정됐다. 케이앤웍스는 아직 조정회의 기일이 확정되지 않았다. 박성의 화섬식품노조 카카오지회 수석부지회장은 ""카카오뱅크와 케이앤웍스는 임금협약만, 카카오모빌리티는 단체협약까지 모두 결렬돼 조정회의 때 합의안을 도출할 예정""이라고 말했다. 만약 2차 조정회의 때까지 합의안이 마련되지 않으면 각 법인은 파업 수순을 밟을 예정이다. 박 부지회장은 ""합의안이 나오지 않으면 조합원을 대상으로 쟁의 찬반 투표를 거치고, 찬성표가 더 많으면 합법적인 파업 수순을 밟게 된다""고 설명했다.",https://www.news1.kr/it-science/general-it/5772575,카카오,9
치킨에 여행비···네·카·토 '앱테크 전쟁',2025년 05월 02일 15:19,서울경제,https://newsimg.sedaily.com/2025/05/02/2GSN492V31_1.jpg,"스마트폰 애플리케이션으로 돈을 절약하는 앱테크(앱과 재테크의 합성어)가 인기를 끌면서 국내 3대 핀테크 기업인 네이버페이와 카카오페이·토스의 고객 모시기 경쟁이 활발해지고 있다. 만보기나 뽑기·퀴즈 등 간단한 활동으로 포인트나 치킨 등 소소한 보상을 지급하는 것부터 여행 수요를 겨냥한 각종 할인·적립 이벤트까지 적극 진행하며 이용자들을 끌어모으는 모습이다. 2일 금융계에 따르면 고물가와 경기 침체가 이어지면서 재테크족 사이에서는 핀테크 앱을 활용해 적은 시간으로 소소한 수익을 얻는 앱테크가 유행하고 있다. 스마트폰을 활용해 누구나 쉽게 참여할 수 있는 데다 각 사마다 눈길을 끄는 콘텐츠까지 내놓으면서 지출을 최소화해 생활비를 줄이는 짠테크(짠돌이와 재테크의 합성어)족들의 참여가 활발하다. 만보기와 뽑기, 퀴즈 이벤트를 통한 포인트 적립은 기본적인 앱테크로 꼽힌다. 가장 잘 알려진 곳은 토스다. 토스에서는 지난달 친구에게 이벤트 링크를 공유하면 치킨 뽑기 기회를 주는 이벤트가 큰 관심을 끌었다. 만보기 서비스를 통해서는 1만 보 이내에서 걸음 수에 따라 포인트를 제공한다. 매일 토스 앱에서 뽑기를 통해 랜덤 포인트를 지급받는 ‘행운 복권’ 서비스와 제휴 브랜드에서 출제한 문제를 맞히면 리워드를 주는 ‘행운 퀴즈’도 인기다. 네이버페이에서는 주식 가격 예측 이벤트가 앱테크족의 큰 관심을 끌고 있다. 증권 계좌를 연결하고 매일 주가를 예측하는 이벤트로, 예측에 실패해도 소정의 포인트를 제공하며 1주일 동안 가장 많이 예측에 성공한 예측왕에게는 최대 3만 포인트를 준다. 이 밖에 미션별 받기, 쉽게 받기 등 앱테크를 노려볼 수 있는 다양한 혜택을 제공한다. 카카오페이 역시 출석체크와 퀴즈타임, 매일 모으기, 만보기 등 다양한 서비스를 통해 카카오페이 포인트를 지급한다. 카카오페이 만보기는 단순한 걸음 수 측정을 넘어 친구나 팀 대결 등 다양한 게임 요소를 더한 것이 특징이다. 핀테크 업계에서는 이러한 앱테크 서비스가 고객을 끌어모으기 위한 수단으로 자리 잡으면서 업체마다 차별화된 콘텐츠를 내놓으려는 시도가 이어지고 있다. 카카오페이에서는 카카오 유명 캐릭터인 춘식이를 활용한 미니게임 ‘춘식이팜’이 인기다. 고구마를 심으면 심은 고구마 수량에 따라 포인트를 바꿔주는 식이다. 네이버페이는 ‘페이펫 키우기’ 서비스에 캐릭터를 성장시키는 다양한 재미 요소를 더한 페이펫 키우기 시즌2를 올 1월부터 시작했다. 강아지와 고양이·햄스터 등 귀여운 캐릭터들을 키우면서 랜덤 포인트를 적립하는 서비스다. 토스의 ‘고양이 키우기’ 역시 이와 비슷한 서비스로 주어진 미션을 수행하면 커피 쿠폰 등을 지급한다. 여행 수요가 커지면서 여행족들을 노린 이벤트들 또한 쏟아지고 있다. 네이버페이는 SK텔레콤과 함께 해외에서 QR로 건당 2만 원 이상 결제 시 로밍 요금 할인 1만 원, 네이버페이포인트 제공 1만 원 등 최대 2만 원 상당의 혜택을 제공하는 이벤트를 진행 중이다. 토스페이도 지난달 제주항공·아시아나항공 결제 할인 이벤트를 실시한 바 있다. [ⓒ 서울경제, 무단 전재 및 재배포 금지]",https://www.sedaily.com/NewsView/2GSN492V31,카카오,4
