title,date,agency,image_url,content,link_url,corp,impact_score
"""美자동차 생산비, 부품 관세로 대당 500만원↑…수리비도 상승""",2025년 05월 04일 03:16,YNA,,"""美자동차 생산비, 부품 관세로 대당 500만원↑…수리비도 상승"" CNN·NYT 등 미 언론 분석…""수입 완성차 관세보다 타격 더 커"" 업계 전문가 ""차량 유지비·보험료 올라 모든 미국인에게 영향""      (로스앤젤레스=연합뉴스) 임미나 특파원 = 도널드 트럼프 미국 대통령이 외국산 자동차 부품에 부과하기로 한 25% 관세가 3일(현지시간) 공식 발효되자 미 언론과 전문가들은 이번 부품 관세가 미치는 파장이 수입 완성차 관세보다 더 클 것으로 전망했다.     앞서 미국으로 수입되는 외국산 자동차에 대한 25% 관세는 지난달 3일부터 시행 중인 상태다. 이에 더해 수입 부품에 대한 25%의 관세가 더해지면서 미국 자동차 산업과 소비자들이 받게 된 타격이 한층 더 광범위해졌다는 진단이다.     CNN 방송은 이번 부품 관세가 ""자동차 산업을 영원히 바꿀 수 있다""며 ""기존의 수입차 관세보다 더 크게 산업을 뒤흔들 수 있다""고 분석했다.     자동차 시장조사업체 콕스 오토모티브의 수석 경제학자 조너선 스모크는 ""솔직히 부품 관세가 경제에 미치는 영향은 수입차 관세보다 더 나빠 보인다""고 말했다.     CNN은 지난해 미국 내 공장에서 생산된 1천만 대의 차량 중 수입 부품 없이 생산된 차량은 단 1대도 없다고 지적했다.     또 캐나다나 멕시코의 공급업체 중 시급 16달러 이상의 근로자를 고용한 부품업체 제품의 경우에는 미국·멕시코·캐나다 협정(USMCA)을 준수한 것으로 분류돼 관세 면제 대상이 되는데, 이 기준을 적용하면 대부분의 캐나다 부품은 면제되지만, 멕시코 부품은 아주 적은 양만 면제된다고 CNN은 전했다.     미국 자동차 부품의 최대 공급원인 멕시코는 지난해 미국에 825억달러(약 116조원) 규모의 부품을 수출했으며, 이 가운데 대부분이 'USMCA 준수'로 인정되지 않아 관세를 적용받게 된다고 CNN은 설명했다.     아울러 트럼프 정부가 미국에서 조립된 자동차에 대해 부품 관세 비용을 일부 환급해주기로 한 조처를 고려하더라도 이번 관세로 인한 추가 비용은 차량당 평균 약 4천달러(약 561만원)에 이를 것이라고 CNN은 자체 추산했다.     실제로 부품 수입 비율이 높은 제너럴 모터스(GM)의 메리 바라 최고경영자(CEO)는 지난 1일 CNN 인터뷰에서 올해 관세로 인해 회사가 부담하는 비용이 40억∼50억달러(약 5조6천억∼7조원)로 추정된다고 밝혔다.     GM과 포드, 현대차 등 완성차 제조업체들은 수개월간 미국에서 차량 가격을 인상하지 않겠다고 밝혔지만, 관세로 인한 비용을 무기한 흡수할 만큼 수익성이 충분하지 않다고 일간 뉴욕타임스(NYT)는 지적했다.     NYT는 관세가 특히 저가 차량의 공급을 줄일 것으로 전망했다.     콕스 오토모티브에 따르면 미국에서 가격이 3만달러(약 4천200만원) 미만인 차량 중 거의 80%가 관세 적용 대상에 해당하며, 여기에는 혼다 시빅, 도요타 코롤라, 쉐보레 트랙스 등 미국에서 인기 높은 차들이 포함된다.     미 언론은 이번 관세 영향이 신차뿐만 아니라 중고차 가격, 수리비, 보험료도 오르게 할 수 있다고 전망했다.     콕스 오토모티브의 스모크는 ""부품 관세는 수리·유지비와 보험료 인플레이션으로 이어질 것이며, 이는 단순히 수입 신차를 구매하려는 사람들뿐 아니라 모든 미국인에게 영향을 준다""고 경고했다.     mina@yna.co.kr (끝) <저작권자(c) 연합뉴스, 무단 전재-재배포, AI 학습 및 활용 금지>",https://www.yna.co.kr/view/AKR20250504001400075?input=2903m,현대자동차,1
강남 소규모 재건축 사업 신탁이냐 조합이냐 ‘시끌시끌’ [부동산360],2025년 05월 03일 17:00,HERALD,https://wimg.heraldcorp.com/news/cms/2025/05/02/news-p.v1.20250430.8ad1ead2ccc647bbb3791a8d88ac7e29_P1.jpg,"<b>개포우성8차·현대3차 통합재건축 논의
일부 주민 신탁방식 반대…갈등 커지나</b> [헤럴드경제=박로명 기자] 서울 강남구 개포동 양재천 인근의 ‘개포우성8차’와 ‘현대3차’의 통합재건축 논의가 8년 만에 급물살을 타고 있다. 각 단지의 재건축추진준비위원회는 신탁사가 시행사를 맡아 사업비 조달부터 분양까지 모든 절차를 주도하는 신탁 방식을 검토하고 있지만, 일부 주민들이 반대하면서 내부 진통을 겪을 수 있다는 우려가 나온다. 3일 정비업계에 따르면 개포우성8차·현대3차 재건축추진준비위원회는 통합재건축 합의서 작성을 마무리하고 예비신탁사 선정 절차에 착수할 계획이다. 이달 신탁사 입찰 공고를 내고 경쟁 입찰을 통해 예비신탁사를 선정해 업무협약(MOU)을 체결할 예정이다. 재건축추진준비위원회 관계자는 “최근 공사비 갈등, 인허가 절차 등 여러 관문에서 사업의 속도가 중요하다 보니 전문성 있는 신탁 방식을 검토하고 있다”고 밝혔다. 이처럼 두 단지는 신탁 방식 채택을 공식화했지만, 일부 현대3차 주민들은 사업 방식에 대한 충분한 논의가 이뤄지지 않았다며 문제 제기에 나섰다. 기존 현대3차 재건축추진준비위원회에 반대하는 현대3차 ‘바른재건축추진준비위원회’는 원점에서 신탁 방식을 재검토해야 한다고 주장하고 있다. 현대3차 바른재건축추진준비위원회 관계자는 “현대3차는 조합방식 또는 신탁방식 중 결정된 것이 없다”며 “재건축추진준비위는 주민의 동의를 받지 않은 임의단체로 현 단계에서 체결하는 계약이나 업무협약 등은 법적 구속력이 없다”고 말했다. 이어 “2023년 실시한 주민 설문조사는 시의성이 부족한 데다 공정성과 투명성 측면에서 문제가 있다”고 덧붙였다. 앞서 각 단지는 주민들을 대상으로 설문조사를 실시한 바 있다. 현대3차는 2023년 설문조사를 진행해 전체 소유주 중 85%가 투표에 참여했으며 53%가 통합 재건축에 찬성한 것으로 집계됐다. 신탁 방식에 찬성한 주민은 64.6%로 나타났다. 그러나 일부 주민들이 신탁 방식에 반대하면서 또다시 사업에 제동이 걸릴 수 있다는 우려가 나온다. 개포우성8차와 현대3차는 2018년부터 통합재건축을 논의해 왔으나 주민 간 갈등으로 논의가 중단, 최근에서야 8년 만에 통합재건축 논의를 재개했다. 우성8차와 현대3차는 각각 261가구, 198가구 규모 소규모 단지로 재건축 연한(30년)을 넘겼다. 각각 2017년 재건축 정밀안전진단을 통과했다. 바른재건축추진준비위원회 관계자는 “기존 재건축추진준비위에서 추진하던 신탁방식에 대한 문제점을 발견하면서 별개의 준비위원회를 구성해 조합방식을 지지하게 됐다”며 “독자적으로 조합 방식의 재건축을 추진하기 위해 조직을 확충하고 법적단체인 추진위원회 구성을 위한 준비절차를 밟고 있다”고 강조했다. 신탁 방식과 조합방식 재건축의 장단점은 명확하다. 신탁 방식은 풍부한 자금과 전문성을 갖춘 신탁사가 참여해 사업 속도가 빠르다. 금융감독원에 자금 관리 등을 보고해야하는 만큼 조합 내 비리나 위법 행위 등이 사전에 차단돼 투명성이 보장된다는 장점이 있다. 하지만 조합 방식과 달리 주민 의견이 배제될 수 있고, 분양 매출의 일부를 수수료로 납부해야 한다는 단점도 있다. ",https://biz.heraldcorp.com/article/10479687,현대자동차,4
트럼프 ‘車부품 관세’ 소비자 구매가만 올리나…“美 완성차 부품 절반 이상 수입산”,2025년 05월 03일 16:10,HERALD,https://wimg.heraldcorp.com/news/cms/2025/05/03/news-p.v1.20250503.35d3a5f6eceb4ba68a66d0803868e3ce_P1.png,"<b>닛케이, 美 ‘車부품 관세’ 계기 분석
벤츠 90%·닛산 59%
“공급망 전체 재검토 필요해져”</b>
[헤럴드경제=신동윤 기자] 도널드 트럼프 미국 대통령이 3일 자동차 부품에 25% 관세 부과를 개시한 가운데 미국에서 생산된 차에 사용되는 부품 중 50% 남짓이 수입품인 것으로 조사됐다고 일본 니혼게이자이(日本經濟)신문(닛케이)이 보도했다. 닛케이는 미국 도로교통안전국(NHTSA)에 등록된 551개 차종 중 미국에서 만들어진 169개의 금액 기준 부품 수입 비율을 분석한 결과 50%를 웃돌았다고 전했다. 부품 수입 비율은 독일 메르세데스-벤츠가 90%로 매우 높았고, BMW도 73%였다. 미국 업체인 포드, 제너럴모터스(GM)는 약 60%였다. 현대자동차는 60%를 다소 밑돌았다. 일본 기업 중에는 닛산자동차가 59%로 가장 높았다. 이어 스바루 51%, 도요타자동차 47%, 마쓰다 45%, 혼다 39% 순이었다. 닛산이 미국에서 판매하는 주력 차종인 스포츠유틸리티차(SUV) ‘로그’의 경우 부품 수입 비율이 75%나 됐다. 엔진은 일본, 변속기는 멕시코에서 각각 조달했다. 닛산은 일본에서 생산했던 로그 일부를 미국에서 만드는 것을 검토하고 있다. 하지만, 수입차에 대한 25% 관세를 피해 미국으로 생산지를 이전해도 부품 대부분을 수입하면 관세 영향이 클 수밖에 없다고 닛케이는 짚었다. 이 신문은 자동차 부품 관세와 관련해 “완성차의 생산 이전뿐만 아니라 공급망 전체의 재검토가 필요하다”고 해설했다. 트럼프 행정부는 2년간 자동차 부품에 대한 관세를 일부 완화하는 조치를 발표했지만, 자동차 공급망이 워낙 복잡해 2년 동안 관세 면제 해법을 찾기는 쉽지 않다는 견해가 나오고 있다. 자동차 부품 관세는 일본 산업에 상당한 타격으로 줄 것으로 전망된다. 지난해 일본이 미국에 수출한 자동차 부품 액수는 전년 대비 14.4% 증가한 약 1조2000억엔(약 11조6000억원)이었다. 닛케이가 지난달 일본 자동차 부품 회사를 대상으로 설문조사를 실시한 결과 관세 부담이 커졌다고 응답한 29개 기업 중 55%가 미국 관세 관련 비용을 제품 가격에 전가하는 것을 검토하고 있다고 밝혔다. 이들 기업 가운데 생산지를 미국으로 이전했다고 답한 기업은 1개뿐이었다. 7개 기업은 이전을 고려하지 않는다고 했고, 6개 업체는 검토 중이라고 답했다. 나머지 기업들은 뚜렷한 견해를 밝히지 않았다. ",https://biz.heraldcorp.com/article/10480141,현대자동차,7
"""美, 자동차 부품 절반 이상 수입품…벤츠 90%·포드 60%""",2025년 05월 03일 15:59,아시아경제,https://cphoto.asiae.co.kr/listimg_link.php?idx=2&no=2025042509290334937_1745540944.jpg,"도널드 트럼프 미국 대통령이 3일 자동차 부품에 25% 관세 부과를 개시한 가운데 미국에서 생산된 차에 사용되는 부품 중 50% 남짓이 수입품인 것으로 조사됐다고 니혼게이자이신문(닛케이)이 보도했다. 닛케이는 미국 도로교통안전국(NHTSA)에 등록된 551개 차종 중 미국에서 만들어진 169개의 금액 기준 부품 수입 비율을 분석한 결과 50%를 웃돌았다고 전했다. 부품 수입 비율은 독일 메르세데스-벤츠가 90%, BMW는 73%였다. 미국 업체인 포드, 제너럴모터스(GM)는 약 60%였다. 현대자동차는 60%를 밑돌았다. 트럼프 행정부는 2년간 자동차 부품에 대한 관세를 일부 완화하는 조치를 발표했지만 자동차 공급망이 복잡해 관세 면제 해법을 찾기는 쉽지 않다는 견해가 나오고 있다. 닛케이는 지난달 일본 자동차 부품 회사를 대상으로 설문조사를 실시한 결과 관세 부담이 커졌다고 응답한 29개 기업 중 55%가 미국 관세 비용을 제품 가격에 전가하는 것을 검토하고 있다고 전했다.",https://www.asiae.co.kr/article/2025050315591822491,현대자동차,4
"美소비자 '관세 쇼크' 먹었나··· 현대차그룹, 4월 美판매 급증",2025년 05월 03일 15:15,서울경제,https://newsimg.sedaily.com/2025/05/03/2GSNLBA57H_1.jpg,"4월부터 미국이 수입차에 대해 25%의 고율 관세를 부과했지만 현대차와 기아는 미국에서 나란히 7개월 연속 월간 최대 판매 기록을 이어갔다. 도널드 트럼프 미국 대통령의 관세 부과에 미국 소비자들이 물가 상승 우려를 놓고 강박관념에 빠질 만큼 걱정이 커져 자동차마저 조기 구매 행보를 보이고 있다는 분석이 나온다. 현대차 미국 법인은 4월 현지 판매량이 8만 1503대로 지난해 같은 달(6만 8603대)보다 19% 증가했다고 2일밝혔다. 역대 4월 최고 판매 실적인데 4월 3일부터 미국이 자동차에 25%의 고율 관세를 부과한 것이 영향을 미쳤다는 분석이 지배적이다. 모델별로는 투싼(41%)과 엘란트라(30%), 싼타페(28%), 쏘나타(12%), 팰리세이드(15%) 순서로 4월 판매 증가율을 기록하며 미국 시장 성장세를 견인했다. 하이브리드차 판매량은 46% 증가했고, 하이브리드차와 전기차를 포함한 전체 친환경차 판매는 25% 늘었다. 랜디 파커 현대차 미국 판매법인 최고경영자(CEO)는 ""투싼 하이브리드(HEV)에 대한 강한 수요가 친환경차 판매 증가를 견인했다"" 면서 ""4월 판매 신기록은 현대차가 혁신과 가치, 성능 면에서 주도권을 갖고 있음을 보여준다""고 말했다. 기아 미국법인도 7만 4805대를 4월에 판매하며 지난해 동월 대비 14% 증가한 실적을 기록했다. 기아 역시 7개월 연속으로 동월 최대 판매 기록을 달성했다. 모델별로는 카니발 MPV(79%), 텔루라이드(21%), 스포티지(18%) 등 주요 스포츠유틸리티차량(SUV)의 판매 증가 폭이 컸다. 기아 미국법인의 영업 담당 부사장 에릭 왓슨은 ""7개월 연속 월간 판매 기록 경신에 안주하지 않고 상품 라인업 강화와 고객 만족을 위한 지속적인 노력을 이어가고 있다""며 ""미국 조지아 공장에서 EV6와 EV9의 현지 생산을 본격화했으며 충전 편의성도 크게 향상했다""고 말했다. 한편 트럼프 미국 대통령은 지난달 3일 수입차에 관세를 부과한데 이어 3일부터는 차량 부품에도 25% 관세를 부과했다. 현대차그룹이 6월 2일까지는 가격을 올리지 않을 방침이어서 5월에도 미국 판매 증가세는 이어질 가능성이 높다. [ⓒ 서울경제, 무단 전재 및 재배포 금지]",https://www.sedaily.com/NewsView/2GSNLBA57H,현대자동차,1
115m 절벽으로 추락한 차에서 생존한 고양이 '화제',2025년 05월 03일 14:59,머니S,https://menu.moneys.co.kr/moneyweek/thumb/2025/05/03/05/2025050314280348738_1.jpg,"미국에서 차량이 약 115m 절벽 아래로 추락하는 사고가 발생해 탑승자 두 명이 사망했지만 함께 타고 있던 고양이는 생존해 화제다. 2일(현지시각) 피플지 등 외신에 따르면 이번 주 초 미국 유타주 브라이스 캐니언 국립공원의 한 관광지에서 차량 한 대가 협곡 아래로 추락했다. 사고로 인해 차량에 탑승했던 남녀 관광객 두 명이 사망했다. 구조대는 현장에서 고양히 한 마리도 발견했다. 고양이는 사고 당시 차량에 함께 탑승했던 것으로 보인다. 구조된 고양이는 12살 암컷으로, 이름은 '미라지'다. 동물 구호단체 '베스트프렌즈 동물 협회'는 미라지를 캐리어에서 발견, 보호소로 긴급 이송했다. 단체는 ""미라지는 갈비뼈가 골절되고 송곳니 두 개가 깨졌지만 혈액 검사 결과 정상이었다""며 ""스스로 먹고 친근한 태도를 보여 의료진이 수월하게 검사할 수 있었다""고 전했다. 현재 미라지는 치료와 회복에 집중하는 것으로 전해졌다.",https://moneys.mt.co.kr/news/mwView.php?no=2025050314280348738,현대자동차,6
"미, 외국산 車부품에 25% 관세 발효…""업계 큰 악재"" 초긴장",2025년 05월 03일 14:15,머니투데이,https://thumb.mt.co.kr/06/2025/05/2025050314102653658_1.jpg,"2027년까지 관세 크레딧 제공으로 미국 제조업체 부담 줄인다지만…차 1대당 4000달러 추가 비용 전망 도널드 트럼프 미국 행정부가 3일(현지시간) 수입 자동차 부품에 대한 25% 관세 부과를 개시했다. CNN 등 외신에 따르면 트럼프 행정부는 3일 오전 0시1분부터 수입 자동차 부품에 대해 25% 관세 부과를 시작했다. 다만 상무부가 지난달 29일 언론 브리핑에서 밝힌 것처럼, 수입 부품을 썼더라도 미국에서 완성한 차라면 관세 일부 감면 혜택을 받을 수 있다. 미국에서 차를 조립한 제조업체에 차량 가격의 15%에 해당하는 '관세 크레딧'을 제공하는 방식이다. 예를 들어 수입 부품으로 미국에서 조립한 차값이 1000달러라고 한다면, 조립업체가 다음번 부품을 수입할 때 150달러어치 부품에 대해서는 25% 관세를 면제해주는 식이다. 상무부에 따르면 내년 4월30일까지 1년 차에는 크레딧 15%가 주어진다. 내년 5월1일부터 2027년 4월30일까지는 크레딧이 10%로 줄어들고 이후부터는 크레딧 혜택이 폐지된다. 트럼프 행정부는 지난달 2일부터 수입 완성차에 대해 25% 관세를 부과 중이다. 완성차에 대한 관세는 소비자에게는 부담이었지만 미국 자동차 업계는 거의 영향이 없었다. 그러나 이번 부품 관세는 해외 부품을 사다 쓰는 미국 업체들 입장에서 비용 상승 요인이 된다. 정부 추산에 따르면 미국 공장에서 조립되는 자동차 부품의 50%가 수입산이라고 CNN은 전했다. 또 CNN은 자체적으로 정부 통계를 분석한 결과, 관세 크레딧 혜택을 받더라도 제조업체들이 차량 1대당 4000달러 가량의 추가 비용을 부담해야 할 것이라고 내다봤다. 부품 관세를 완성차 관세보다 한 달 늦게 시행하고, 시행 직전 2년 간 크레딧을 주기로 한 것도 미국 자동차 업계 반발 때문이다. 지난달 29일 브리핑에서 상무부 관계자는 ""2년이면 (미국 자동차 업체들이 현지 공급망을 구축하기에) 충분한 기간""이라고 발언했다. 그럼에도 부품 관세는 업계에 상당한 악재이며, 미국 경제 전체에 악영향을 끼칠 수 있다고 전문가들은 설명했다. CNN에 따르면 미국 리서치업체 콕스 오토모티브의 조나단 스모크 수석 경제학자는 ""수입 (완성)차 관세보다 (부품 관세가) 전체 경제에 더 나쁜 영향을 끼칠 것으로 본다""고 했다. ⓒ 머니투데이 & mt.co.kr, 무단 전재 및 재배포 금지",https://news.mt.co.kr/mtview.php?no=2025050314102653658&TOSS,현대자동차,9
"""지금 사도 내년에 받는다""···HEV 엔진 달고 고공행진 ‘아빠차’",2025년 05월 03일 14:00,서울경제,https://newsimg.sedaily.com/2025/05/03/2GSNKBP7I2_1.jpg,"국내 완성차 시장에서 하이브리드차(HEV) 인기가 여전한 가운데 ‘패밀리카’의 대표 격인 모델들은 구입 후 길게는 8개월 이상 기다려야 하는 것으로 나타났다. 3일 완성차 업계에 따르면 현대자동차의 신형 팰리세이드인 ‘디 올 뉴 팰리세이드’ 하이브리드 모델의 출고 대기 기간은 8개월인 것으로 나타났다. 이달 구입을 한 고객은 빨라야 내년 3월 이후에 차량을 받을 수 있다는 의미다. 2세대 신형 팰리세이드는 내연기관에 그쳤던 1세대 모델과 달리 하이브리드로 파워트레인을 추가하며 고객 선택권을 넓혔다. 지난달 6662대 팔린 신형 팰리세이드의 절반 넘는 3526대는 하이브리드 모델이 차지할 정도로 폭발적인 인기를 얻고 있다. 신형 팰리세이드 하이브리드 모델은 현대차그룹의 차세대 하이브리드 시스템(2.5 하이브리드 시스템)을 최초로 적용한 차량에 해당한다. 이 시스템은 구동을 맡은 모터(P2)에 시동과 발전, 구동력 보조 신규 모터(P1)를 추가하면서도 크기는 더 줄였다. 현대차그룹은 여기에 기존(1.6ℓ)보다 큰 2.5ℓ 가솔린 엔진을 연결해 성능을 높였다. 신형 팰리세이드 2.5터보 하이브리드 모델의 최고연비는 14.1㎞/ℓ에 달한다. 최고 출력은 334마력, 최대 토크은 46.9kgf·m로 연비 효율과 주행 성능을 모두 개선했다. 판매 중인 가솔린 2.5터보 터보 모델과 비교해 연비는 45%, 최고 출력은 19% 개선하면서도 배출가스는 34% 절감했다. 현대차는 차량 출고 지연을 최소화하기 위해 적기 생산에 힘을 주고 있다. 팰리세이드 주문량을 소화하기 위해 기존 현대차 울산공장 4공장 뿐만 아니라 2공장, 5공장에서도 팰리세이드를 생산할 수 있도록 조정한 것이다. 이곳에서는 올해 하반기 미국 수출 길에 오르는 팰리세이드 하이브리드 모델도 생산할 예정이다. 기아의 다목적차량(MPV) 카니발 하이브리드 모델의 출고 대기 기간도 8개월에 달한다. 일부 옵션을 추가하면 10개월로 더 늘어나게 된다. 대표 중형 스포츠유틸리티차량(SUV)인 쏘렌토 하이브리드 모델도 구입 후 6~7개월가량 기다려야 차량을 받을 수 있다. 하이브리드 모델의 인기는 전기차 출고 대기 기간과 비교하면 더욱 두드러진다. 현대차 전기 SUV인 아이오닉5, 전기 세단인 아이오닉6는 구입 즉시 출고 가능하다. 현대차 최초의 대형 전기 SUV인 아이오닉9과 코나 EV의 출고 대기 기간도 1.5개월에 그친다. 기아의 전기차 라인업인 EV3·EV4·EV6·EV9 모두 4~5주만 기다리면 차량을 받을 수 있다. 하이브리드 모델의 인기는 지속될 것으로 예상된다. 전기차 캐즘(일시적 수요 정체)와 충전 인프라 부족이 여전한 가운데 뛰어난 연비 효율과 친환경성을 갖춘 하이브리드 모델이 대안으로 주목받고 있다. 이에 완성차 제조사들도 하이브리드 모델을 늘리는 등 적극적으로 대응하고 있다. KG모빌리티(KGM)은 지난 3월 토레스 하이브리드를 출시하며 내수 판매 회복세를 이어가고 있다. KGM은 신차 효과에 힘입어 지난달 국내 판매량 3546대를 기록했다. 전월보다 10.5% 증가한 것으로 지난 1월 이후 4개월 연속 상승세를 보였다. 올 하반기에는 액티언 하이브리드 모델을 출시하는 것을 목표로 한다. [ⓒ 서울경제, 무단 전재 및 재배포 금지]",https://www.sedaily.com/NewsView/2GSNKBP7I2,현대자동차,3
"美, 외국산 車 부품에 25% 관세 발효…韓 영향 불가피",2025년 05월 03일 13:59,아주경제,https://image.ajunews.com/content/image/2025/05/03/20250503135852297535.jpg,"도널드 트럼프 미국 대통령이 자동차 고율관세의 충격을 줄인다고 로이터통신이 지난달 28일(현지시간) 보도했다. [사진=연합뉴스] 미국이 외국산 자동차에 이어 자동차 부품에도 관세 25％를 부과한다. 도널드 트럼프 미국 대통령이 외국산 자동차 부품에 대해 예고한 25%의 고율 관세가 3일(현지시간)부터 공식 발효됐다. 트럼프 대통령이 지난 3월 26일 발표한 포고문에 적시된 대로 수입 자동차 부품에 대한 25%의 관세가 미 동부시간으로 이날 오전 0시1분(한국시간 3일 오후 1시1분)을 기해 부과되기 시작했다. 앞서 외국산 자동차에 대한 25% 관세는 지난달 3일 오전 0시1분부터 시행에 들어갔다. 다만 미국은 관세 발효를 앞두고 미국에서 자동차를 만드는 기업에는 부품 관세 부담을 2년 동안 한시적으로 완화하기로 했다. 올해 4월 3일부터 내년 4월 30일까지 미국에서 조립한 자동차 가격의 15%에 해당하는 부품에 대해 관세를 1년간 면제하고, 내년 5월 1일부터 2027년 4월 30일까지는 10%에 해당하는 부품에 관세를 면제한다. 이번 관세 완화 조치로 미국에 공장이 있는 현대차와 기아는 관세 부담이 일정 부분 줄어들 것으로 보인다. 하지만 대미 수출 비중이 높은 만큼 한국 부품업계의 매출 타격은 피하기 어려울 전망이다. 한국무역협회에 따르면 한국의 자동차 부품 대미 수출 비중은 2020년 29.5%에서 지난해 36.5%로 증가했다. 미국의 자동차 부품 수입 가운데 한국산 비중은 지난해 기준 6.4%로 금액으로는 135억 달러(약 19조원)에 달한다.",https://www.ajunews.com/view/20250503135742865,현대자동차,1
"美, 외국산 車부품에 25% 관세 발효…韓 부품업계 타격 예상",2025년 05월 03일 13:13,매일경제,https://wimg.mk.co.kr/news/cms/202505/03/rcv.YNA.20250429.PYH2025042911420006100_P1.jpg,"도널드 트럼프 미국 대통령이 외국산 자동차 부품에 부과하기로 한 25% 관세가 3일(현지시간) 공식 발효됐다. 트럼프 대통령이 지난 3월 26일 발표한 포고문에 적시된 대로 수입 자동차 부품에 대한 25%의 관세가 미 동부시간으로 이날 오전 0시1분(한국시간 3일 오후 1시1분)을 기해 부과되기 시작했다. 외국산 자동차에 대한 25% 관세는 이에 앞서 지난달 3일 오전 0시1분부터 시행 중이다. 다만 트럼프 대통령은 미국에 완성차 생산시설을 가진 자동차 제조업체의 부담을 줄여주기 위해 지난달 29일 수정된 포고문을 통해 2년간 자동차 부품에 대한 관세를 일부 완화하는 조치를 발표했다. 올해 4월 3일부터 내년 4월 30일까지 미국에서 조립한 자동차 가격의 15%에 해당하는 부품에 대해 관세를 1년간 면제하고, 내년 5월 1일부터 2027년 4월 30일까지는 10%에 해당하는 부품에 관세를 면제하기로 한 것이다. 트럼프 대통령은 자동차와 부품, 캐나다·멕시코에 부과한 관세, 알루미늄 관세, 철강 관세는 중첩되지 않으며, 특정 제품이 2개 이상의 관세에 해당할 경우 자동차 및 부품 관세를 우선해서 적용하도록 하는 별도 행정명령에 서명했다. 이처럼 자동차 부품에 대한 관세가 당초 방침보다 어느 정도 완화되면서 한국 부품업체들은 어느 정도 숨통이 트였지만, 대미(對美) 수출 비중이 높은 탓에 타격이 불가피할 것으로 보인다. 관세로 인해 완성차의 최종 소비자 가격이 오를 것으로 예상되면서 외국산 부품에 대한 수요 위축으로 인해 수출이 감소할 수 있는 것이다. 한국무역협회에 따르면 한국의 자동차 부품 대미 수출 비중은 2020년 29.5%에서 지난해 36.5%로 증가했다. 미국의 자동차 부품 수입 가운데 한국산 비중은 지난해 기준 6.4%로 금액으로는 135억 달러(약 19조원)에 달한다. 세부적으로 보면 배터리·모터 등 전동화 부품(30억 달러), 새시 및 구동축 부품(30억 달러), 자동차용 전자·전기 부품(25억 달러), 차체 및 부품(23억 달러), 엔진 및 부품(13억 달러), 자동차용 타이어 및 튜브(8억 달러) 등이다. [ⓒ 매일경제 & mk.co.kr, 무단 전재, 재배포 및 AI학습 이용 금지]",https://www.mk.co.kr/article/11307972,현대자동차,9
