corp_code,corp_name,corp_eng_name,stock_code,시장
0126380,삼성전자,"SAMSUNG ELECTRONICS CO,.LTD",005930,코스피
0164779,SK하이닉스,SK hynix Inc.,000660,코스피
1515323,LG에너지솔루션,"LG ENERGY SOLUTION, LTD.",373220,코스피
0877059,삼성바이오로직스,"SAMSUNG BIOLOGICS CO.,LTD.",207940,코스피
0164742,현대자동차,HYUNDAI MOTOR CO,005380,코스피
0106641,기아,KIA CORPORATION,000270,코스피
0413046,셀트리온,"Celltrion, Inc.",068270,코스피
0126566,한화에어로스페이스,"HANWHA AEROSPACE CO., LTD.",012450,코스피
0688996,KB금융,KB Financial Group Inc.,105560,코스피
0266961,NAVER,NAVER Corporation,035420,코스피
1390344,HD현대중공업,"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",329180,코스피
0382199,신한지주,"SHINHAN FINANCIAL GROUP CO.,LTD",055550,코스피
0164788,현대모비스,"HYUNDAI MOBIS CO.,LTD",012330,코스피
0111704,한화오션,"Hanwha Ocean Co., Ltd.",042660,코스피
0860332,메리츠금융지주,MERITZ FINANCIAL GROUP INC.,138040,코스피
0155319,POSCO홀딩스,POSCO Holdings Inc.,005490,코스피
0149655,삼성물산,SAMSUNG C&T CORPORATION,028260,코스피
0760971,크래프톤,"KRAFTON, Inc.",259960,코스피
0258801,카카오,Kakao Corp.,035720,코스피
0164645,HMM,"HMM CO.,LTD",011200,코스피
0139214,삼성화재,"SAMSUNG FIRE & MARINE INSURANCE CO.,LTD",000810,코스피
0356361,LG화학,LG CHEM LTD,051910,코스피
0547583,하나금융지주,Hana Financial Group Inc.,086790,코스피
0126256,삼성생명,"Samsung Life Insurance co., Ltd",032830,코스피
0631518,SK이노베이션,"SK Innovation Co., Ltd.",096770,코스피
0164830,HD한국조선해양,"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",009540,코스피
0159193,한국전력,KOREA ELECTRIC POWER CORPORATION,015760,코스피
0102858,고려아연,KOREA ZINC INC,010130,코스피
0159616,두산에너빌리티,"DOOSAN ENERBILITY CO., LTD.",034020,코스피
0244455,KT&G,KT&G Corporation,033780,코스피
0126478,삼성중공업,"SAMSUNG HEAVY INDUSTRIES CO.,LTD",010140,코스피
0126362,삼성SDI,"SAMSUNG SDI CO.,LTD",006400,코스피
0190321,KT,KT CORPORATION,030200,코스피
0159023,SK텔레콤,"SK TELECOM CO.,LTD",017670,코스피
